,Charge Code,Description,Default CPT/HCPCS Code,2023 Primary Price
37,61692,"BRAIN AVM SURG,DURAL,COMPLX",61692,38549.0
38,43118,"PART RMV ESOPH,DIST 2/3,W/THOR,W/COL INT",43118,38427.0
39,26556,FREE TOE JT XFER W MICROVASC ANAST,26556,38269.0
40,46744,"RECLOACAL ANOMALY,SACROPERINEAL",46744,38090.0
41,33877,RETHORACOABDOM AA W GRAFT,33877,37918.0
42,32852,"LUNG TRANSPLANT,SINGL W CP BYPASS",32852,37837.0
43,32445,"REMOVAL OF LUNG,EXTRAPLEURAL",32445,37493.0
44,43112,"REMOVAL ESOPHAGUS,W THORACOTOMY",43112,37462.0
45,26551,"GREAT TOE-HAND XFER,MICROVASC ANAST",26551,37024.0
46,47122,"RESEC LIVER,TRISEGMENTECTOMY",47122,36989.0
47,33783,AORTIC ROOT TRANSLOC VSD/PULM STEN REPAIR W/ CORON,33783,36864.0
48,26553,"SINGLE TOE-HAND XFER,MICROVASC ANAST",26553,36773.0
49,20805,"REPLANT FOREARM, COMPLETE",20805,36658.0
50,33622,RECONSTRUCTION COMPLEX CARDIAC ANOMALY,33622,36273.0
51,61616,EXCIS BASE POST CRAN FOSSA/INTRADURL,61616,36171.0
52,61526,EXCIS TRANSTEMP CP ANGLE TUMOR,61526,36159.0
53,61700,"ANEURYSM, INTRACRAN, SIMPLE SURG",61700,36006.0
54,33440,Pr Rplcmt A-valve Tlcj Autol Pv,33440,35808.0
55,47130,"RESEC LIVER,TOTAL RT LOBECTOMY",47130,35686.0
56,33411,REPLACE AORT VALV W ANNULUS ENLRGEMENT,33411,35583.0
57,61613,OBLIT AVM/ANEUR/FISTULA-CAVER SINUS,61613,35372.0
58,61585,ORBITOCRANIAL APPROACH/SKULL+,61585,35130.0
59,61608,RESECT PARASELLAR FOSSA/INTRADURL,61608,35097.0
60,41155,"EXCIS TONGUE,MOUTH,JAW,RAD NECK",41155,35028.0
61,47785,"ANAST,ROUX-EN-Y,INTRAHEP TO GI TRCT",47785,35013.0
62,32851,"LUNG TRANSPLANT,SINGLE",32851,34889.0
63,31395,REMV LARYNX+PHARYNX W RECONSTRUC,31395,34857.0
64,43117,"PART REMOV ESOPHAGUS,LOWER 2/3",43117,34809.0
65,61592,ORBITOCRANIAL APPROACH/ZYGOMATIC,61592,34395.0
66,61591,INFRATEMPORAL APPROACH/POSTAURICULAR,61591,34354.0
67,61590,INFRATEMPORAL APPROACH/PREAURICULAR,61590,34242.0
68,33413,"REPL AORT VALVE,TRANSLOC AUTOL PULM VALV",33413,34137.0
69,33782,AORTIC ROOT TRANSLOC VSD/PULM STEN REPAIR W/O CORO,33782,34129.0
70,33864,ASCEND AORTA GRAFT W VALVE SPARING ANNULUS REMODEL,33864,34127.0
71,61582,"CRANIOFACIAL APPROACH,EXTRADURAL++",61582,33983.0
72,48150,"PART REMV PANC,PROX+REMV DUOD+ANAST",48150,33758.0
73,20973,"BONE-SKIN GRAFT, MICROVASC GREAT TOE",20973,33748.0
74,48153,"PART REMV PANC,PROX+PART DUOD+ANAST",48153,33620.0
75,61545,EXCISION CRANIOPHARYNGIOMA,61545,33558.0
76,61521,EXCIS INFRATENT MIDLINE TUMOR,61521,33520.0
77,33412,REPLAC AO VALV XVENT AO ANNUL ENLG,33412,33342.0
78,33863,ASCEND AORTA GRAFT W ROOT REPLACMENT.VALVE CONDUIT,33863,33318.0
79,47125,"RESEC LIVER,TOTAL LT LOBECTOMY",47125,33247.0
80,31390,REMV LARYNX & PHARYNX,31390,32866.0
81,33463,VALVULOPLAS TRICUS NO RING INSERT,33463,32792.0
82,47361,"EXPLOR LIVER WOUND,EXTENSIV DEBRIDE",47361,32792.0
83,47765,ANAST INTRAHEP DUCT TO GI TRACT,47765,32718.0
84,33545,REPOST MI SEPTAL DFCT,33545,32615.0
85,41145,"EXCIS TONGUE,UNILAT RAD NECK",41145,32523.0
86,61530,EXCIS COMBINED CP ANGLE TUMOR,61530,32431.0
87,58240,"PELVIC EXENTERATN,GYN MALIGNANCY",58240,32364.0
88,32442,"REMV LUNG,RESEC PART TRACHEA",32442,32341.0
89,43107,"REMOVAL ESOPHAGUS,NO THORACOTOMY",43107,32036.0
90,20970,"BONE-SKIN GRAFT, MICROVAS ILIA CREST",20970,32002.0
91,63251,"EXCIS/OCCLUD CORD AVM,THORACIC",63251,31994.0
92,20972,"BONE-SKIN GRAFT, MICROVASC METATARS",20972,31987.0
93,21160,"RECONST FACE,LEFORT III+I COMPLX",21160,31962.0
94,63252,"EXCIS/OCCLUD CORD AVM,THORCOLUMBAR",63252,31920.0
95,61606,RESECT INFRATEMP FOSSA/INTRADURL,61606,31863.0
96,61597,TRANSCONDYLAR APPROACH/SKULL,61597,31590.0
97,27077,RAD RESEC ENTIRE INNOMINATE,27077,31589.0
98,50365,TRANSPLANT KIDNEY+RECIP NEPHREC,50365,31553.0
99,33548,RESTORE/REMODEL VENTRICLE,33548,31541.0
100,48154,"PART REMV PANC,PROX+PART REMV DUOD",48154,31455.0
101,61583,"CRANIOFACIAL APPROACH,INTRADURAL",61583,31441.0
102,20838,"REPLANTATION, FOOT, COMPLETE",20838,31322.0
103,48152,"PART REMV PANC,PROX+REMV DUOD",48152,31302.0
104,61584,ORBITOCRANIAL APPROACH/SKULL,61584,31257.0
105,19364,BREAST RECONSTRUC W FREE FLAP,19364,31188.0
106,61519,EXCIS INFRATENT MENINGIOMA,61519,31110.0
107,63250,"EXCIS/OCCLUD CORD AVM,CERVICAL",63250,31009.0
108,69535,"RESECT TEMPORAL BONE,EXTERN APPRCH",69535,30978.0
109,61598,TRANSPETROSAL APPROACH/SKULL,61598,30977.0
110,20969,"BONE-SKIN GRAFT, MICROVASCULAR",20969,30956.0
111,20957,MICROVASCULAR METATARSAL GRAFT,20957,30907.0
112,20802,"REPLANTATION, ARM, COMPLETE",20802,30888.0
113,15842,GRAFT FACE FREE MUSCLE GRAFT,15842,30860.0
114,43314,"ESOPHAGOPLASTY CON DEF,W/REPAIR TE FIST",43314,30840.0
115,48105,RESECT/DEBRIDE ACUTE NECROT PANCREAS,48105,30823.0
116,45126,PELVIC EXENTERATION COLORECTAL MALIGNANCY,45126,30816.0
117,44127,"RESECT SM INTEST,CONG ATRESIA,W/TAPER",44127,30715.0
118,61615,EXCIS BASE POST CRAN FOSSA/EXTRADURL,61615,30629.0
119,61581,"CRANIOFACIAL APPROACH,EXTRADURAL+",61581,30609.0
120,33406,PR REPLACEMENT AORTIC VALVE OPN,33406,30530.0
121,43121,"PART REMOV ESOPH,LOWER,THORACOTOMY",43121,30340.0
122,20962,"MICROVASCULAR BONE GRAFT,OTHER",20962,30196.0
123,61684,"BRAIN AVM SURG,INFRATENT,SIMPLE",61684,29938.0
124,32815,CLOSE BRONCHIAL FISTULA,32815,29844.0
125,33430,REPLACEMENT OF MITRAL VALVE,33430,29797.0
126,20956,MICROVASCULAR ILIAC CREST GRAFT,20956,29607.0
127,61607,RESECT PARASELLAR FOSSA/EXTRADURL,61607,29546.0
128,21159,"RECONST FACE,LEFORT III COMPLEX",21159,29518.0
129,31365,REMOVAL OF LARYNX+RAD TOTL NECK,31365,29509.0
130,63290,"BX/EXCIS SPIN TUM,COMBINED,ANY LVL",63290,29361.0
131,61518,EXCIS INFRATENT BRAIN TUMOR,61518,29270.0
132,33465,REPLACE TRICUSPID W CP BYPASS,33465,29252.0
133,43313,"ESOPHAGOPLASTY CON DEF,W/O RETE FIST",43313,29209.0
134,33619,REHYPOPLAS LT HEART,33619,29178.0
135,43361,"GI RECON,PRIOR ESOPHAGECT,W/COLON INTERP",43361,29139.0
136,33875,THORACIC AORTA GRAFT,33875,29064.0
137,33858,Pr As-aort Grf F/aortic Dsj,33858,29021.0
138,69554,"REMV AURAL GLOMUS,EXTRATEMPORAL",69554,29015.0
139,33425,MITRALPLASTY W CP BYPASS,33425,29009.0
140,63287,"BX/EXCIS SPIN TUM,INDUR,INMED,THLUM",63287,28903.0
141,33516,"CABG, VEIN, SIX+",33516,28737.0
142,21261,"REVISE ORBITS,INTRA/EXTRA",21261,28668.0
143,48554,TRANSPLANT ALLOGRAFT PANCREAS,48554,28571.0
144,31368,PART SUPRAGLOT REMV LARYNX+RAD NECK,31368,28494.0
145,27076,RAD RESEC ILIUM+ACETABULUM,27076,28324.0
146,21184,"RECONST ORB/FORHD/NASOETH,GRAFT>80 SQCM",21184,28289.0
147,20955,MICROVASCULAR FIBULA GRAFT,20955,28072.0
148,61538,LOBECTOMY TEMPOR CORTICOGRAPHY,61538,28044.0
149,20697,"COMP ASSIST MULTIPLANE EXT FIXATION, CHANGE",20697,28028.0
150,33536,"CABG, ARTERIAL, FOUR+",33536,28002.0
151,33910,REMOVE PUL ART EMBOLI W CP BYPASS,33910,27990.0
152,41153,"EXCIS TONGUE,MOUTH,NECK",41153,27912.0
153,33542,MYOCARD RESECTN,33542,27889.0
154,33871,Pr Transvrs A-arch Grf Hypthrm,33871,27872.0
155,61580,"CRANIOFACIAL APPROACH,EXTRADURAL",61580,27815.0
156,33514,"CABG, VEIN, FIVE",33514,27805.0
157,22819,"KYPHECTOMY, 3 & MORE SEGMENT",22819,27795.0
158,42894,"RESEC PHARYN WALL,CLOS MYOCUT FLAP",42894,27738.0
159,43415,"SUTURE ESOPHAGUS WOUND,THOR APPRCH",43415,27691.0
160,61596,TRANSCOCHLEAR APPROACH/SKULL,61596,27679.0
161,63285,"BX/EXCIS SPIN TUM,INDUR,INMED,CERV",63285,27641.0
162,43122,"PARI REMOV ESOPH,THORACOABDOM",43122,27553.0
163,61586,"BICOR,XZYGOMA APPROACH ANT CRAN FOSS",61586,27370.0
164,61711,INTRA-EXTRACRANIAL ART ANASTOM,61711,27325.0
165,63286,"BX/EXCIS SPIN TUM,INDUR,INMED,THOR",63286,27293.0
166,46742,"REHI IMPERF ANUS,FIST,COMBINED",46742,27238.0
167,61536,EXCIS EPILEPT FOCUS W MONITOR,61536,27137.0
168,61705,INTRACRAN/CERV OCCLN CAROTID SURG,61705,27068.0
169,35092,"REART RUPTURE,AORTA/VISC",35092,27065.0
170,33410,PR REPLACEMENT AORTIC VALVE OPN,33410,27054.0
171,61512,EXCIS SUPRATENT MENINGIOMA,61512,26986.0
172,61708,OCCLN CAROTID ELECTROTHROMBOSIS,61708,26924.0
173,61567,INCISION OF BRAIN TISSUE,61567,26787.0
174,22804,ARTHRODESIS POSTERIOR SPINAL DEFORMITY UP 13+ SEGM,22804,26759.0
175,47780,"ANAST,ROUX-EN-Y,EXTRAHEP TO GI TRCT",47780,26756.0
176,33927,IMPLTJ TOTAL RPLCMT HEART SYS W/RCP CARDIECTOMY,33927,26712.0
177,22206,OSTEOTOMY SPINE POSTERIOR 3 COLUMN THORACIC,22206,26663.0
178,21263,"REVISE ORBITS,FOREHD ADVANC",21263,26581.0
179,44126,"RESECT SM INTEST,CONG ATRESIA,W/O TAPER",44126,26578.0
180,51596,"CYSTECTOMY,W/CONTINENT DIVERSION",51596,26532.0
181,63305,"REMV VERT,INDURAL,XTHOR,THOR TUMOR",63305,26504.0
182,61595,TRANSTEMPORAL APPROACH/SKULL,61595,26458.0
183,61575,"TRANSORAL APPROACH EXC,BX,DECOMPR",61575,26454.0
184,50360,TRANSPLANTATION OF KIDNEY,50360,26447.0
185,61601,RESECT BASE ANT CRAN FOSSA/INTRADURL,61601,26438.0
186,33513,"CABG, VEIN, FOUR",33513,26437.0
187,21183,"RECON ORB/FORHD/NASOETH,GRFT 40-80 SQCM",21183,26301.0
188,22207,OSTEOTOMY SPINE POSTERIOR 3 COLUMN LUMBAR,22207,26284.0
189,33031,REMOV HEART SAC W CP BYPASS,33031,26264.0
190,33535,"CABG, ARTERIAL, THREE",33535,26067.0
191,63087,"REMV VERT BODY,LO THOR/LUMB,ONE",63087,26014.0
192,33300,REPAIR HEART WOUND,33300,26006.0
193,33464,VALVULOPLAS TRICUS W RING INSERT,33464,25992.0
194,33427,MITRALPLASTY W RADICAL RECONSTR,33427,25984.0
195,15756,FREE MUSC-SKIN FLAP W/MICROVASC ANAST,15756,25970.0
196,15758,FREE FASCIAL FLAP W MICROVASC ANAST,15758,25955.0
197,61537,CRANIOT W BONE FLAP TEMPORAL LOBE W/O ECOG,61537,25953.0
198,42845,"RAD RESEC TONSIL/PILLARS,CLOS FLAP",42845,25932.0
199,41150,"EXCIS TONGUE,MOUTH,JAW",41150,25902.0
200,41140,REMOVAL OF TONGUE,41140,25805.0
201,51597,"PELVIC EXENTERATION COMPLETE, OTHER MALIG",51597,25801.0
202,33468,REVISION OF TRICUSPID VALVE,33468,25780.0
203,63306,"REMV VERT,INDURAL,THORLUM,THOR TUMOR",63306,25743.0
204,33512,"CABG, VEIN, THREE",33512,25718.0
205,31367,PART SUPRAGLOT REMV LARYNX,31367,25696.0
206,59618,"ROUT OB CARE,C-SEC,PREV C-SEC",59618,25692.0
207,15757,FREE SKIN FLAP W MICROVASC ANAST,15757,25675.0
208,33926,REPAIR PUL ART UNIFOCAL ARBOR W/ CP BYPASS,33926,25576.0
209,41135,"PART EXC TONGUE,UNILAT RAD NECK",41135,25523.0
210,61564,EXCIS BENIGN BONE LESN OPTIC DECOMPR,61564,25516.0
211,63307,"REMV VERT,INDURAL,LUMB/SACR TUMOR",63307,25485.0
212,33460,VALVECTOMY TRICUSPID W CP BYPASS,33460,25473.0
213,32488,COMPLETION PNEUMONECTOMY,32488,25409.0
214,59510,"FULL ROUT OBSTE CARE,CESAREAN DELIV",59510,25401.0
215,47120,"RESEC LIVER,PART LOBECTOMY",47120,25391.0
216,33426,MITRALPLASTY W PROSTHETIC RING,33426,25381.0
217,21175,RECONST ORBIT/FOREHEAD BIFRONTAL,21175,25240.0
218,44156,REMOVAL COLON/PROCTEC/ILEOSTOMY CONT,44156,25228.0
219,61322,"OPEN SKULL,DECOMPRES,W/DURAPLASTY",61322,25204.0
220,61323,"OPEN SKULL,DECOMP,W/LOBECTOMY",61323,25140.0
221,63101,"REMV VERT BODY, LATERAL, THORACIC",63101,25049.0
222,35540,"VEIN BYPASS GRAFT,AORTOBIFEMORAL",35540,25048.0
223,61539,LOBECTOMY OTHR CORTICOGRAPHY,61539,24999.0
224,33778,"REXPOSTN GRT VES,AO-PUL ART RECON",33778,24973.0
225,37140,"VENOUS ANASTOMOSIS,OPEN,PORTOCAVAL",37140,24962.0
226,37181,SPLENORENAL DISTAL SHUNT,37181,24962.0
227,32486,"REMV LUNG,PART,RESEC PART BRONCHUS",32486,24941.0
228,61559,EXTEN CRANIEC W RECONTOUR SYNOSTOSIS,61559,24932.0
229,31382,"PART REMV LARYNX,ANTER-LAT-VERT",31382,24925.0
230,46735,"REHI IMPERF ANUS,COMBINED APPRCH",46735,24907.0
231,19368,PR BREAST REC 1 PDCLD W TRAM MCRV ANAS,19368,24902.0
232,43622,"REMOVAL STOMACH,FORM INTEST POUCH",43622,24852.0
233,33475,"REPLACEMENT, PULMONARY VALVE",33475,24845.0
234,48001,PLACE DRAIN+OSTOMY FOR PANCREATITIS,48001,24831.0
235,21155,"RECONST FACE,LEFORT III+LEFORT I",21155,24734.0
236,63102,"REMV VERT BODY, LATERAL, LUMBAR",63102,24732.0
237,33780,"REXPTN GR VES,AP ART W CLOS VSD",33780,24728.0
238,22812,ARTHRODESIS ANTERIOR SPINAL DEFORMITY 8+ SEGMENTS,22812,24728.0
239,63304,"REMV VERT,INDURAL,CERV TUMOR",63304,24695.0
240,61605,RESECT INFRATEMP FOSSA/EXTRADURL,61605,24686.0
241,51595,"REMV BLADDER/NODES,ILEAL CONDUIT",51595,24641.0
242,33779,"REXPTN GR VES,AP ART REM PUL BND",33779,24590.0
243,44158,REMOVAL COLON/PROCTEC/ILEOANAL ANAST POUCH,44158,24547.0
244,43621,"REMOVAL STOMACH,ROUX-EN-Y",43621,24458.0
245,47760,ANAST EXTRAHEP DUCT TO GI TRACT,47760,24428.0
246,33781,"REXPTN GR VES,AP ART W RPUL OB",33781,24416.0
247,69970,"REMOVE TUMOR,TEMPORAL BONE",69970,24388.0
248,61546,"EXCIS PITUITARY,INTRACRANIAL",61546,24364.0
249,46712,TRANSPERIN/ TRANSABD REILEOANAL POUCH FISTLA,46712,24330.0
250,33391,VALVULOPLASTY AORTIC VALVE OPEN CARD BYP COMPLEX,33391,24326.0
251,31370,"PART REMV LARYNX,HORIZONTAL",31370,24323.0
252,49215,EXCISE PRESACRAL/SACRAL TUMOR,49215,24273.0
253,58954,"BIL SAL-OOPH W/OMENTECT,TAH,RAD DIS,LYMP",58954,24239.0
254,44211,"LAP,SURG,COLECTOMY,TOTAL,W/PROCTECTOMY",44211,24236.0
255,33983,"REPLACE VENT ASST DEV, IMPLANT INTRACORP, SINGLE V",33983,24220.0
256,22818,"KYPHECTOMY, 1-2 SEGMENTS",22818,24200.0
257,34704,EVASC RPR DPLMNT AORTO-UN-ILIAC NDGFT RPT,34704,24185.0
258,61600,RESECT BASE ANT CRAN FOSSA/EXTRADURL,61600,24183.0
259,22861,"REVISION TOTAL DISC ARTHROPLASTY, CERVICAL, SINGLE",22861,24168.0
260,33405,PR REPLACEMENT AORTIC VALVE OPN,33405,24148.0
261,21182,"RECONST ORB/FORHD/NASOETH,GRAFT<40 SQCM",21182,24134.0
262,33786,REPAIR TRUNCUS ARTERIOSUS,33786,24132.0
263,34706,EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT RPT,34706,24129.0
264,61867,IMPLANT NEUROELECTRODE W/ RECORDING,61867,24129.0
265,31360,REMOVAL OF LARYNX,31360,24126.0
266,59610,"ROUT OB CARE,VAG DELIV,PREV C-SEC",59610,24082.0
267,43360,GI REPAIR PREV ESOPH RMVL,43360,24035.0
268,45397,"LAP, SURG PROCTECTOMY W J-POUCH",45397,23993.0
269,61680,"BRAIN AVM SURG,SUPRATENT,SIMPLE",61680,23953.0
270,44157,REMOVAL COLON/PROCTEC/ ILEOANAL ANAST,44157,23949.0
271,21268,"REPOSITN ORBITS,INTRA/EXTRA",21268,23896.0
272,35538,"VEIN BYPASS GRAFT,AORTOBI-ILIAC",35538,23877.0
273,51585,"REMV BLADDER/NODES,REVIS TRACT",51585,23807.0
274,37160,CAVAL-MESENTERIC SHUNT,37160,23801.0
275,62120,"REPAIR ENCEPHALOCELE,VAULT",62120,23662.0
276,46740,"REHI IMPERF ANUS,W FISTULA",46740,23646.0
277,44151,"REMOVAL COLON/ILEOSTOMY,CONTINENT",44151,23636.0
278,61566,CRANIOT W BONE FLAP FOR AMYGDALOHIPPOCAMPECTOMY,61566,23627.0
279,27075,RAD RESEC UNILAT ILEUM,27075,23477.0
280,33534,"CABG, ARTERIAL, TWO",33534,23405.0
281,21436,"OPEN TX LEFORTE III,COMPL+++",21436,23363.0
282,61510,EXCIS SUPRATENT BRAIN TUMOR,61510,23357.0
283,35103,"REART RUPTURE,AORTOILIAC",35103,23346.0
284,31230,REMV UPPER JAW+ORBIT EXENTERATN,31230,23339.0
285,47400,"INCISION OF LIVER DUCT/EXPLOR,DRAIN",47400,23335.0
286,63301,"REMV VERT,EXUDR,XTHOR,THOR TUMOR",63301,23325.0
287,44146,"PART REMOVAL COLON W COLOPROC,COLOST",44146,23307.0
288,63303,"REMV VERT,EXDUR,LUMB/SACR TUMOR",63303,23253.0
289,22802,ARTHRODESIS POSTERIOR SPINAL DEFORMITY UP 7-12 SEG,22802,23246.0
290,61343,SUBOCCIPT DECOMP MEDULLA/SP CRD,61343,23202.0
291,33474,PULM VALVOTOMY W CP BYPASS,33474,23182.0
292,20824,"REPLANTATION THUMB MCP, COMPLETE",20824,23182.0
293,37145,RENOPORTAL SHUNT,37145,23167.0
294,27078,RAD RESEC ISCHIAL TUBER+GR TROCH,27078,23155.0
295,19369,PR BREAST RECONSTRUCT W TRAM 2 PEDICL,19369,23137.0
296,20816,"REPLANTATION DIGIT MCP, COMPLETE",20816,23135.0
297,27365,"RAD RESEC TUMOR,FEMUR OR KNEE",27365,23127.0
298,61690,"BRAIN AVM SURG,DURAL,SIMPLE",61690,23102.0
299,59400,"FULL ROUT OBSTE CARE,VAGINAL DELIV",59400,23092.0
300,31375,"PART REMV LARYNX,LATEROVERT",31375,23076.0
301,63302,"REMV VERT,EXDUR,THORLUM,THOR TUMOR",63302,23043.0
302,33771,REXPOSTN GRT VES W ENLARGMT VSD,33771,23009.0
303,44155,REMOVAL COLON/PROCTECTOMY/ILEOSTOMY,44155,23004.0
304,61522,EXCIS INFRATENT BRAIN ABSCESS,61522,22995.0
305,61540,CRANIOT W BONE FLAP OTHER LOBE W/O ECOG,61540,22977.0
306,37180,SPLENORENAL PROX SHUNT,37180,22889.0
307,35082,"REART RUPTURE, ABD AORTA",35082,22865.0
308,43634,"REMV STOMACH,PART,DISTAL,FORM POUCH",43634,22865.0
309,33617,REBY MODIFIED FONTAN,33617,22810.0
310,44212,"LAP,SURG,COLECT,TOT,W/PROCTECT,W/ILEOST",44212,22796.0
311,31380,"PART REMV LARYNX,ANTEROVERT",31380,22785.0
312,61710,OCCLN CAROTID EMBOLIZATION,61710,22749.0
313,33414,REPAIR LV OUTFLOW OBSTR PATCH ENLG,33414,22740.0
314,61543,PARTIAL HEMISPHERECTOMY,61543,22734.0
315,61541,TRANSECT CORPUS CALLOSUM,61541,22720.0
316,0676T,PR LAPS INSJ NW/RPCMT ISDSS EA,0676T,22698.0
317,33511,"CABG, VEIN, TWO",33511,22628.0
318,69955,"DECOMPRESS FACIAL NERVE,TOTAL",69955,22572.0
319,22810,ARTHRODESIS ANTERIOR SPINAL DEFORMITY 4-7 SEGMENTS,22810,22546.0
320,63280,"BX/EXCIS SPIN TUM,INDUR,XMED,CERV",63280,22495.0
321,61321,OPEN SKULL DRAIN INFRATENT ABSC,61321,22468.0
322,21077,PREP FACE/ORAL PROST ORBITAL,21077,22445.0
323,35539,"VEIN BYPASS GRAFT,AORTOFEMORAL",35539,22424.0
324,33770,REXPOSTN GRT ART W VSD,33770,22422.0
325,58953,"BIL SALP-OOPH W/OMENTECT,TAH,RAD DISSECT",58953,22364.0
326,21154,"RECONST FACE,LEFORT III",21154,22358.0
327,33677,"CLOSE MULTIPLE VSD, REMOVE PA BAND",33677,22314.0
328,61460,CRANIECT SECTN 1+ CRAN NERVES,61460,22305.0
329,63281,"BX/EXCIS SPIN TUM,INDUR,XMED,THOR",63281,22271.0
330,50380,REIMPLANTATION OF KIDNEY,50380,22266.0
331,21172,RECONST ORBIT/FOREHEAD,21172,22251.0
332,62164,"NEUROENDOSCOP,W/EXCISE BRAIN TUMOR",62164,22243.0
333,33120,REMOVAL HEART LESION INTERN,33120,22230.0
334,35216,"REBL VES DIRECT,CHEST",35216,22134.0
335,61524,EXCIS INFRATENT BRAIN CYST,61524,22050.0
336,42892,RESEC LAT PHARYN WALL/PYRIFRM SIN,42892,22021.0
337,45395,"LAP, SURG PROCTECTOMY W COLOSTOMY",45395,22004.0
338,61312,"OPEN SKULL EVAC HEMATOMA, SUPRATENTORIAL, SUB/ EXT",61312,21988.0
339,63271,"EXCIS INTRASP LESN,INTRADUR,THOR",63271,21957.0
340,63270,"EXCIS INTRASP LESN,INTRADUR,CERV",63270,21951.0
341,43632,"REMV STOMACH,PART,DISTAL,GASTROJEJUN",43632,21947.0
342,61315,"OPEN SKULL EVAC HEMATOMA, INFRATENTORIAL, INTRACER",61315,21911.0
343,22864,"REMOVE TOTAL DISC ARTHROPLASTY, CERVICAL, SINGLE",22864,21907.0
344,43496,"FREE JEJUNUM XFER,MICROVASC ANAST",43496,21903.0
345,23220,RAD RESECT PROX HUMERUS FOR TUMOR,23220,21879.0
346,44208,"LAP,SURG,COLECTOMY,W/ANAST,W/COLOSTOMY",44208,21835.0
347,33697,RETET FALLOT W PULM ATRESIA,33697,21814.0
348,32504,RESECT APICAL LUNG TUM/ CHEST WALL RECONST,32504,21793.0
349,33710,REVALSALVA FISTULA & VSD,33710,21786.0
350,51590,"CYSTECTOMY,ILEAL CONDUIT/SIGMOID BLADDER",51590,21767.0
351,69960,DECOMPRESS INTERN AUDITORY CANAL,69960,21760.0
352,46730,REHI IMPERF ANUS,46730,21705.0
353,33415,REVIS SUBVALV TIS SVAS,33415,21679.0
354,47712,"EXCIS BILE DUCT TUMOR,INTRAHEPATIC",47712,21627.0
355,22586,ARTHRODESIS PRESACRAL INTRBDY W/INSTRUMENT L5/S1,22586,21626.0
356,61345,CRANIAL DECOMPRESSN POST FOSSA,61345,21622.0
357,33726,REPAIR PULMONARY VENOUS STENOSIS,33726,21591.0
358,33505,REANOMAL COR PA ORIGIN ART W/TUNNEL,33505,21583.0
359,33416,REVIS VENT MUSC FOR IHSS,33416,21573.0
360,63090,"REMV VERT BODY,LOWER,RETROPER,ONE",63090,21532.0
361,22862,"REVISION TOTAL DISC ARTHROPLASTY, LUMBAR, SINGLE",22862,21527.0
