,"CDM
Number",CODE DESCRIPTION,CPT CODE,REVENUE CDE,CHARGE
236,3015643,CHEMO SQ/IM NONHORMONAL  ,96401,450,770.0
237,3016243,CLOSE/PK WND DEHISCEN SMP,            ,450,1436.0
238,3017506,COLLECT CAPILLAR BLOOD   ,36416,300,72.0
239,3016391,CURETTAGE NON OB         ,            ,450,1990.0
240,3017175,CV CATH LEVEL 3          ,            ,450,13718.0
241,3016037,CV CATH/PICC LEVEL 1     ,            ,450,3583.0
242,3016300,CV CATH/PICC LEVEL 2     ,            ,450,7546.0
243,3015708,CYSTOSTOMY PROC COMPLEX  ,            ,450,7749.0
244,3015641,DEBR NON-SELECTIV SESSION,97602,450,492.0
245,3017480,DEBR SELCT SESSION ADD 20,97598,450,479.0
246,3017159,DEBR SL SESSION 1ST 20CM ,97597,450,574.0
247,3015203,DEBRID OPEN FX W/FB REMOV,            ,450,1456.0
248,3017050,DEBRID/AVUL NAIL EVAC HEM,            ,450,305.0
249,3015468,DEBRIDE SKIN/SUBQ/MUS    ,            ,450,2044.0
250,3016284,DECLOT THROMBOLYSIS      ,            ,450,1084.0
251,3016946,DENTAL PROC/REIMPLANT    ,            ,450,3671.0
252,3015732,DRESS/DEBRIDE BURN       ,            ,450,464.0
253,3017514,ECG 12 LEAD TRACING ONLY ,93005,730,1179.0
254,3012143,EMERG ROOM CPR           ,92950,450,963.0
255,3017548,EMERGENCY ESRD DIALY TRMT,G0257       ,450,2967.0
256,3017068,ENDOSCOPY PROC COMPLEX   ,            ,450,544.0
257,3016904,ENDOSCOPY PROC INTERMED  ,            ,450,7671.0
258,3016003,EPIDURAL BLOOD PATCH     ,            ,450,1901.0
259,3000213,ER CRIT CARE 30-74 W/PROC,9929125,450,13899.0
260,3012804,ER CRITIC CARE ADD 30MIN ,99292,450,6950.0
261,3015146,ER CRITICAL CARE 30-74MIN,99291,450,13899.0
262,3000064,ER LEVEL 1               ,99281,450,687.0
263,3015914,ER LEVEL 1 W/PROCEDURE   ,9928125,450,687.0
264,3000098,ER LEVEL 2               ,99282,450,1157.0
265,3016185,ER LEVEL 2 W/PROCEDURE   ,9928225,450,1157.0
266,3016458,ER LEVEL 3               ,99283,450,1777.0
267,3000122,ER LEVEL 3 W/PROCEDURE   ,9928325,450,1777.0
268,3016722,ER LEVEL 4               ,99284,450,3479.0
269,3000155,ER LEVEL 4 W/PROCEDURE   ,9928425,450,3479.0
270,3016995,ER LEVEL 5               ,99285,450,5611.0
271,3000189,ER LEVEL 5 W/PROCEDURE   ,9928525,450,5611.0
272,3041218,ER OBSERVATION PER HOUR  ,G0378       ,762,312.0
273,3016276,EXCISE/REPAIR NAIL       ,            ,450,897.0
274,3017571,EXCISION LEVEL 1         ,            ,450,5999.0
275,3017597,EXCISION LEVEL 2         ,            ,450,11832.0
276,3017092,EXPLORE WOUND            ,            ,450,1101.0
277,3017415,FETAL NON-STRESS TEST    ,59025,450,545.0
278,3017621,FORESKIN MANIPULATION    ,            ,450,1049.0
279,3016854,GASTR INTB/ASP/LAV PHY SK,            ,450,575.0
280,3015070,GLUCOSE BLD BY DEVICE POC,82962,301,75.0
281,3016813,HEMORRHOID EXC/INC SIMPLE,            ,450,1508.0
282,3017126,IMP VENTRC CATH CEREB MON,            ,450,9919.0
283,3015237,INCIS/DRAIN/ASP LEVEL 1  ,            ,450,1161.0
284,3016961,INCIS/DRAIN/ASP LEVEL 2  ,            ,450,1615.0
285,3017084,INCIS/DRAIN/ASP LEVEL 3  ,            ,450,5202.0
286,3015658,INF IV HYDRA INIT 31-60MN,96360,450,896.0
287,3015682,INF IV HYDRAT EA ADD HR  ,96361,450,560.0
288,3015831,INF TX/DX CONCURRENT     ,96368,450,1132.0
289,3015773,INF TX/DX/PRO EA ADD HR  ,96366,450,560.0
290,3015716,INF TX/DX/PRO INIT 1ST HR,96365,450,896.0
291,3015807,INF TX/DX/PRO SEQ 1HR    ,96367,450,896.0
292,3017654,INH TX EA SUBSEQ TX/DAY  ,9464076,412,476.0
293,3017688,INH TX INITIAL EA DAY    ,94640,412,514.0
294,3015492,INJ NERVE/OTHR ASP/INJ JT,            ,450,764.0
295,3041220,INJ NON NERVE/JOINT      ,            ,450,1980.0
296,3015922,INJ TX/DX/PRO IV PUSH SEQ,96375,450,349.0
297,3015898,INJ TX/DX/PRO IVPUSH INIT,96374,450,349.0
298,3015864,INJ TX/DX/PROPH SUBQ/IM  ,96372,450,276.0
299,3016193,INJ TX/PRO/DX IVP SME DRG,96376,450,318.0
300,3015740,INS/REM PERITL CATH/CANN ,            ,450,9676.0
301,3017183,INS/REPL TEMP PACER ELECT,            ,450,23187.0
302,3015765,INSERT CATH BLADDER      ,            ,450,338.0
303,3016573,INTUBATION ENDOTRACHEAL  ,            ,450,943.0
304,3016847,IRRIG/LAV/INSTL BLAD/OTHR,            ,450,935.0
305,3016060,LAC RPR LEVEL 1          ,            ,450,1117.0
306,3015799,LAC RPR LEVEL 2          ,            ,450,1754.0
307,3015252,LAC RPR LEVEL 3          ,            ,450,9919.0
308,3015526,LAC RPR LVL2 ADD<5CM     ,            ,450,1436.0
309,3017399,LARYNGOSCOPY DIAGNOSTIC  ,            ,450,587.0
310,3012671,LUMBAR/SHUNT PUNCTURE    ,            ,450,1487.0
311,3017712,MOD SED <5Y 1ST 15 OTH MD,99155,370,424.0
312,3017746,MOD SED =>5Y 1ST 15 OTHMD,99156,370,424.0
313,3017308,MOD SEDAT <5YRS 1ST 15M  ,99151,370,424.0
314,3017332,MOD SEDAT =>5YRS 1ST 15M ,99152,370,424.0
315,3017779,MOD SEDAT ADD 15M OTH MD ,99157,370,731.0
316,3016045,MODERATE SEDAT ADD 15MIN ,99153,370,393.0
317,3016821,NASOPHARYNGOSCOPY W ENDO ,92511,450,775.0
318,3017241,OB/GYN PROCEDURE LEVEL 1 ,            ,450,701.0
319,3017639,OB/GYN PROCEDURE LEVEL 2 ,            ,450,2600.0
320,3016128,OB/GYN PROCEDURE LEVEL 3 ,            ,450,5489.0
321,3012291,PACING TRANSCUTANEOUS    ,92953,480,763.0
322,3016698,PARACENTESIS/PERIT LAVAGE,            ,450,1161.0
323,3014305,PERICARDIOCENTESIS       ,            ,450,315.0
324,3016011,PLACE NDL INTRAOSSO INFUS,            ,450,746.0
325,3016334,PLACE NG/OG TUBE PHY SKIL,            ,450,764.0
326,3017035,PREG URINE VISUAL POC    ,81025,307,48.0
327,3016227,RECTAL PROCEDURE INTERMED,            ,450,3956.0
328,3015823,REM FB/SKN LES IMP LVL 1 ,            ,450,395.0
329,3016367,REMOV/BIVALV/RPR CAST    ,            ,450,786.0
330,3016870,REMOVE CERUMEN IMPACTED  ,            ,450,274.0
331,3015559,REMOVE FB/IMPLANT LEVEL 2,            ,450,2158.0
332,3015286,REMOVE FB/IMPLANT LEVEL 3,            ,450,6866.0
333,3017837,SKIN PROCEDURE COMPLEX   ,            ,450,12187.0
334,3016482,SKIN TEST TB INTRADRM POC,86580,302,40.0
335,3017860,STRAPPING                ,            ,450,606.0
336,3015310,THORACENTESIS/THORACOSTOM,            ,450,1161.0
337,3017928,THORACOTOMY              ,            ,450,3212.0
338,3015385,THROMBOLYSIS CORONARY IV ,92977,480,2654.0
339,3017951,TOBACCO COUNSELING >10MIN,99407,942,124.0
340,3017985,TOBACCO COUNSELING 3-10MN,99406,942,60.0
341,3015583,TRACHEOSTOMY EMERGENCY   ,            ,450,2276.0
342,3016938,TX DISLOC LEVEL 3 W ANES ,            ,450,4957.0
343,3016664,TX FX/DISLOC LEVEL 1     ,            ,450,664.0
344,3016888,TX FX/DISLOC LEVEL 2     ,            ,450,2480.0
345,3015344,TX FX/DISLOC LEVEL 3     ,            ,450,9919.0
346,3015054,UA NONAUTO W/O MICRO POC ,81002,307,52.0
347,3017530,VENIPUNCT CUTDOWN < AGE 1,36420,450,197.0
348,3017563,VENIPUNCT CUTDOWN > AGE 1,36425,450,895.0
349,3015880,VENIPUNCTURE             ,36415,300,50.0
350,3017472,VENIPUNCTURE             ,36415,300,50.0
351,3018017,WINDOWING/WEDGING OF CAST,            ,450,1068.0
352,8400129,DIABETES SELF-MGNT 30MIN ,G0108       ,942,271.0
353,8400145,DIABETES SELFMGNT GRP 30M,G0109       ,942,83.0
354,8100521,MNT NUTRITION GRP EA 30MN,97804,942,128.0
355,8100463,MNT NUTRITION INITL EA15 ,97802,942,152.0
356,8100489,MNT NUTRITION SUBSEQ EA15,97803,942,128.0
357,8303141,BRNCHSPASM EVAL PRE/POST ,94060,460,1222.0
358,8100687,DEMO/EVAL INHALATION TX  ,94664,410,556.0
359,8305153,MANIPULAT CHEST WALL INIT,94667,410,542.0
360,8304917,PT THERAPY GROUP 15      ,97150GP     ,423,151.0
361,8308322,PULM REHAB COPD W EX 1HR ,G0424       ,948,334.0
362,8303174,SPIROMETRY               ,94010,460,557.0
363,8311664,TEST PULMONARY STRESS    ,94618,460,181.0
364,8304198,THERAP STRG ENDR EA 15MIN,G0237       ,419,164.0
365,8305666,THRP RSP STG END GR<=120M,G0239       ,419,758.0
366,8400269,THRP RSP STRG END GR<=60M,G0239       ,419,379.0
367,8305054,THRP RSP STRG END GR<=90M,G0239       ,419,568.0
368,8305013,THRP RSP-OTH INDV EA15MIN,G0238       ,419,164.0
369,8507576,ORTHO L3710 115X-150     ,L3710       ,274,663.0
370,8507758,ORTHO L3720 730X-949     ,L3720       ,274,4184.0
371,8507931,ORTHO L3730 949X-1234    ,L3730       ,274,5439.0
372,8508111,ORTHO L3760 431X-561     ,L3760       ,274,2471.0
373,8513434,ORTHO L3762 17X-23       ,L3762       ,274,100.0
374,8507410,ORTHO L3762 88X-115      ,L3762       ,274,508.0
375,8507550,ORTHO L3763 331X-431     ,L3763       ,274,1898.0
376,8507741,ORTHO L3764 431X-561     ,L3764       ,274,2471.0
377,8507584,ORTHO L3766 431X-561     ,L3766       ,274,2471.0
378,8507782,ORTHO L3806 195X-254     ,L3806       ,274,1121.0
379,8507774,ORTHO L3807 195X-254     ,L3807       ,274,1121.0
380,8507600,ORTHO L3808 115X-150     ,L3808       ,274,663.0
381,8507956,ORTHO L3900 730X-949     ,L3900       ,274,4184.0
382,8508137,ORTHO L3901 730X-949     ,L3901       ,274,4184.0
383,8507766,ORTHO L3905 431X-561     ,L3905       ,274,2471.0
384,8507436,ORTHO L3906 115X-150     ,L3906       ,274,663.0
385,8513432,ORTHO L3908 17X-23       ,L3908       ,274,100.0
386,8513433,ORTHO L3908 23X-30       ,L3908       ,274,135.0
387,8507790,ORTHO L3908 67X-88       ,L3908       ,274,389.0
388,8507451,ORTHO L3912 115X-150     ,L3912       ,274,663.0
389,8507626,ORTHO L3913 115X-150     ,L3913       ,274,663.0
390,8513431,ORTHO L3916 39X-51       ,L3916       ,274,225.0
391,8507998,ORTHO L3917 88X-115      ,L3917       ,274,508.0
392,8513038,ORTHO L3919 88X-115      ,L3919       ,274,508.0
393,8513053,ORTHO L3921 88X-115      ,L3921       ,274,508.0
394,8513430,ORTHO L3923 17X-23       ,L3923       ,274,100.0
395,8508012,ORTHO L3923 30X-39       ,L3923       ,274,175.0
396,8513428,ORTHO L3925 <10          ,L3925       ,274,25.0
397,8513429,ORTHO L3925 10-13        ,L3925       ,274,60.0
398,8507667,ORTHO L3925 30X-39       ,L3925       ,274,175.0
399,8513427,ORTHO L3927 <10          ,L3927       ,274,25.0
400,8507683,ORTHO L3927 115X-150     ,L3927       ,274,663.0
401,8507709,ORTHO L3929 39X-51       ,L3929       ,274,225.0
402,8507725,ORTHO L3931 88X-115      ,L3931       ,274,508.0
403,8507808,ORTHO L3933 115X-150     ,L3933       ,274,663.0
404,8507642,ORTHO L3935 115X-150     ,L3935       ,274,663.0
405,8507717,ORTHO L3984 431X-561     ,L3984       ,274,2471.0
406,8503419,OT APPL E-STIM>=1 MD 15EA,97032GO     ,430,227.0
