Run Date: 2/12/2023 12:23:33 AM
CDM Date Stamp: 9/23/2022

Procedure Code,Description,Price Tier,Revenue Code,CPT HCPCS Code,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge
22000012_1,ROOM/BED MSU,Inpatient,0111,,,0,9639.00,9639.00,9639.00,9639.00
22000020_1,ROOM/BED MSU,Inpatient,0111,,,0,9639.00,9639.00,9639.00,9639.00
22000038_1,ROOM/BED MSU,Inpatient,0121,,,0,9270.00,9270.00,9270.00,9270.00
22000053_1,ROOM/BED MSU W/TELEMETRY,Inpatient,0121,,,0,9769.00,9769.00,9769.00,9769.00
22000069_1,"ROOM, MS3, LAP BANDING",Inpatient,0121,,,0,9270.00,9270.00,9270.00,9270.00
22009013_1,MS3 OBSERVATION PER HOUR,Observation,0762,G0378,,0,489.00,489.00,489.00,489.00
22009014_1,MS3 OBSERVATION DIRECT ADMIT,Observation,0762,G0379,,0,489.00,489.00,489.00,489.00
22100028_1,ROOM/BED MSU,Inpatient,0111,,,0,9639.00,9639.00,9639.00,9639.00
22110008_1,FLU VACCINE ADMIN,Inpatient,0771,G0008,,0,186.00,186.00,186.00,186.00
22110008_1,FLU VACCINE ADMIN,Outpatient,0771,G0008,,0,186.00,186.00,186.00,186.00
22110009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22110009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22112233_1,TRANSFUSION,Inpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
22112233_1,TRANSFUSION,Outpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
22113010_1,IV INFUSION 1ST HOUR,Inpatient,0269,96365,,0,896.00,896.00,896.00,896.00
22113010_1,IV INFUSION 1ST HOUR,Outpatient,0269,96365,,0,896.00,896.00,896.00,896.00
22113011_1,IV INFUSION EACH ADD'L HOUR,Inpatient,0269,96366,,0,200.00,200.00,200.00,200.00
22113011_1,IV INFUSION EACH ADD'L HOUR,Outpatient,0269,96366,,0,200.00,200.00,200.00,200.00
22200009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22200009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22300009_1,ROOM/BED NSY LEV 1,Inpatient,0172,,,0,11501.00,11501.00,11501.00,11501.00
22400009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22400009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
22500017_1,ROOM/BED MS2,Inpatient,0111,,,0,9639.00,9639.00,9639.00,9639.00
22500030_1,ROOM/BED MS2 SEMI-PRIVATE,Inpatient,0121,,,0,9270.00,9270.00,9270.00,9270.00
22512233_1,TRANSFUSION,Inpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
22512233_1,TRANSFUSION,Outpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
22600009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,90471,,0,83.00,83.00,83.00,83.00
22600009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,90471,,0,83.00,83.00,83.00,83.00
22612233_1,TRANSFUSION,Inpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
22612233_1,TRANSFUSION,Outpatient,0391,36430,,0,1490.00,1490.00,1490.00,1490.00
23000005_1,ROOM/BED NSY LEV 1,Inpatient,0172,,,0,11501.00,11501.00,11501.00,11501.00
23000011_1,ROOM/BED PDU,Inpatient,0113,,,0,9639.00,9639.00,9639.00,9639.00
23000029_1,ROOM/BED PDU,Inpatient,0113,,,0,9639.00,9639.00,9639.00,9639.00
23000037_1,ROOM/BED PDU,Inpatient,0123,,,0,9270.00,9270.00,9270.00,9270.00
23009012_1,PED OBSERVATION PER HOUR,Observation,0762,G0378,,0,489.00,489.00,489.00,489.00
23009013_1,PED OBSERVATION DIRECT ADMIT,Observation,0762,G0379,,0,489.00,489.00,489.00,489.00
24000010_1,ROOM/BED MHU,Inpatient,0114,,,0,5632.00,5632.00,5632.00,5632.00
24000028_1,ROOM/BED MHU,Inpatient,0124,,,0,5254.00,5254.00,5254.00,5254.00
24000029_1,ROOM/BED MHU ADMIN DAY,Inpatient,0169,,,0,5254.00,5254.00,5254.00,5254.00
25000019_1,ROOM/BED LDU,Inpatient,0112,,,0,14108.00,14108.00,14108.00,14108.00
25000027_1,ROOM/BED LDU,Inpatient,0122,,,0,13567.00,13567.00,13567.00,13567.00
25009010_1,MIU OBSERVATION/HOUR,Observation,0762,G0378,,0,489.00,489.00,489.00,489.00
25009011_1,MIU OBSERVATION/HOUR DIRECT AD,Observation,0762,G0379,,0,489.00,489.00,489.00,489.00
25100017_1,ROOM/BED MI2,Inpatient,0112,,,0,9639.00,9639.00,9639.00,9639.00
25100033_1,ROOM/BED MI2 SEMI-PRIVATE,Inpatient,0122,,,0,9270.00,9270.00,9270.00,9270.00
25100035_1,ROOM/BED MI2 SEMI-PRIVATE,Inpatient,0122,,,0,9270.00,9270.00,9270.00,9270.00
25200015_1,ROOM/BED MI3,Inpatient,0112,,,0,9639.00,9639.00,9639.00,9639.00
25200023_1,ROOM/BED MI3 MEDICALLY JUSTIFY,Inpatient,0112,,,0,9639.00,9639.00,9639.00,9639.00
25200031_1,ROOM/BED MI3 SEMI-PRIVATE,Inpatient,0122,,,0,9270.00,9270.00,9270.00,9270.00
25810052_1,BEDSIDE URINE TEST STRIP,Inpatient,0307,81002,,0,59.00,59.00,59.00,59.00
25810052_1,BEDSIDE URINE TEST STRIP,Outpatient,0307,81002,,0,59.00,59.00,59.00,59.00
25822701_1,BEDSIDE OCCULT BLOOD,Inpatient,0301,82270,,0,76.00,76.00,76.00,76.00
25822701_1,BEDSIDE OCCULT BLOOD,Outpatient,0301,82270,,0,76.00,76.00,76.00,76.00
25829482_1,BEDSIDE GLUCOSE ACCUDATA*,Inpatient,0301,82962,,0,59.00,59.00,59.00,59.00
25829482_1,BEDSIDE GLUCOSE ACCUDATA*,Outpatient,0301,82962,,0,59.00,59.00,59.00,59.00
25839861_1,BEDSIDE NITRAZINE TEST,Inpatient,0301,83986,,0,24.00,24.00,24.00,24.00
25839861_1,BEDSIDE NITRAZINE TEST,Outpatient,0301,83986,,0,24.00,24.00,24.00,24.00
25872102_1,BESIDE FERN TEST,Inpatient,0306,Q0114,,0,73.00,73.00,73.00,73.00
25872102_1,BESIDE FERN TEST,Outpatient,0306,Q0114,,0,73.00,73.00,73.00,73.00
25872201_1,BEDSIDE KOH,Inpatient,0306,Q0112,,0,73.00,73.00,73.00,73.00
25872201_1,BEDSIDE KOH,Outpatient,0306,Q0112,,0,73.00,73.00,73.00,73.00
26000042_1,BASSINET LDU/MIU,Inpatient,0171,,,0,3591.00,3591.00,3591.00,3591.00
27000017_1,ROOM/BED ARU,Inpatient,0118,,,0,9639.00,9639.00,9639.00,9639.00
27000033_1,ROOM/BED ARU,Inpatient,0128,,,0,9270.00,9270.00,9270.00,9270.00
30000228_1,NST TECHNICAL COMPONENT,Ambulatory Surgical,0720,59025,,0,361.00,361.00,361.00,361.00
30000228_1,NST TECHNICAL COMPONENT,Inpatient,0720,59025,,0,361.00,361.00,361.00,361.00
30009526_1,RHOGAM ADMINISTRATION,Inpatient,0260,96372,,0,193.00,193.00,193.00,193.00
30009526_1,RHOGAM ADMINISTRATION,Outpatient,0260,96372,,0,193.00,193.00,193.00,193.00
30009534_1,BETAMETHASONE ADMINISTRATION,Inpatient,0720,96372,,0,193.00,193.00,193.00,193.00
30009534_1,BETAMETHASONE ADMINISTRATION,Outpatient,0720,96372,,0,193.00,193.00,193.00,193.00
30009548_1,"IV HYDRATION, FIRST HOUR",Inpatient,0260,96360,,0,896.00,896.00,896.00,896.00
30009548_1,"IV HYDRATION, FIRST HOUR",Outpatient,0260,96360,,0,896.00,896.00,896.00,896.00
30009550_1,"IV HYDRATION, EACH ADD'L HOUR",Inpatient,0260,96361,,0,193.00,193.00,193.00,193.00
30009550_1,"IV HYDRATION, EACH ADD'L HOUR",Outpatient,0260,96361,,0,193.00,193.00,193.00,193.00
30009552_1,IV PUSH,Inpatient,0260,96374,,0,384.00,384.00,384.00,384.00
30009552_1,IV PUSH,Outpatient,0260,96374,,0,384.00,384.00,384.00,384.00
30009554_1,IV DRUG ADMINISTRATION,Inpatient,0260,96372,,0,193.00,193.00,193.00,193.00
30009554_1,IV DRUG ADMINISTRATION,Outpatient,0260,96372,,0,193.00,193.00,193.00,193.00
30009948_1,"IV SC THER INFUSION,UP TO 1HR",Inpatient,0269,96369,,0,383.00,383.00,383.00,383.00
30009948_1,"IV SC THER INFUSION,UP TO 1HR",Outpatient,0269,96369,,0,383.00,383.00,383.00,383.00
30009950_1,"IV PUSH, NEW DRUG, EACH ADD'L",Inpatient,0269,96375,,0,396.00,396.00,396.00,396.00
30009950_1,"IV PUSH, NEW DRUG, EACH ADD'L",Outpatient,0269,96375,,0,396.00,396.00,396.00,396.00
30010102_1,LDU TREATEMENT ROOM I (OP),Inpatient,0761,G0463,,0,326.00,326.00,326.00,326.00
30010102_1,LDU TREATEMENT ROOM I (OP),Outpatient,0761,G0463,,0,326.00,326.00,326.00,326.00
30010111_1,SURGERY BASE FEE,Ambulatory Surgical,0360,,,0,4293.00,4293.00,4293.00,4293.00
30010111_1,SURGERY BASE FEE,Inpatient,0360,,,0,4293.00,4293.00,4293.00,4293.00
30010201_1,LDU TREATMENT ROOM II (OP),Inpatient,0761,G0463,,0,641.00,641.00,641.00,641.00
30010201_1,LDU TREATMENT ROOM II (OP),Outpatient,0761,G0463,,0,641.00,641.00,641.00,641.00
30400009_1,PNEUMONIA VACCINE ADMIN,Inpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
30400009_1,PNEUMONIA VACCINE ADMIN,Outpatient,0771,G0009,,0,83.00,83.00,83.00,83.00
30400040_1,LD ANESTHESIA FACIL FEE/MINUTE,Inpatient,0370,,,0.07,49.00,49.00,49.00,49.00
30400040_1,LD ANESTHESIA FACIL FEE/MINUTE,Outpatient,0370,,,0.07,49.00,49.00,49.00,49.00
30400041_1,LD ANESTHESIA FACIL FEE/MINUTE,Inpatient,0370,,,0.07,49.00,49.00,49.00,49.00
30400041_1,LD ANESTHESIA FACIL FEE/MINUTE,Outpatient,0370,,,0.07,49.00,49.00,49.00,49.00
30400050_1,LEVEL 2 LD OR PER MINUTE,Ambulatory Surgical,0360,,,0,188.00,188.00,188.00,188.00
30400050_1,LEVEL 2 LD OR PER MINUTE,Inpatient,0360,,,0,188.00,188.00,188.00,188.00
30400052_1,LEVEL 1 LD OR PER MINUTE,Ambulatory Surgical,0360,,,0,162.00,162.00,162.00,162.00
30400052_1,LEVEL 1 LD OR PER MINUTE,Inpatient,0360,,,0,162.00,162.00,162.00,162.00
30400054_1,LEVEL 3 LD OR PER MINUTE,Ambulatory Surgical,0360,,,0,214.00,214.00,214.00,214.00
30400054_1,LEVEL 3 LD OR PER MINUTE,Inpatient,0360,,,0,214.00,214.00,214.00,214.00
30400055_1,RECOVERY (LDU) FIRST HOUR,Inpatient,0710,,,0,986.00,986.00,986.00,986.00
30400055_1,RECOVERY (LDU) FIRST HOUR,Outpatient,0710,,,0,986.00,986.00,986.00,986.00
30400056_1,LEVEL 4 LD OR PER MINUTE,Ambulatory Surgical,0360,,,0,357.00,357.00,357.00,357.00
30400056_1,LEVEL 4 LD OR PER MINUTE,Inpatient,0360,,,0,357.00,357.00,357.00,357.00
30400063_1,RECOVERY (LDU) ADD'L 0.25 HR,Inpatient,0710,,,0,302.00,302.00,302.00,302.00
30400063_1,RECOVERY (LDU) ADD'L 0.25 HR,Outpatient,0710,,,0,302.00,302.00,302.00,302.00
30402002_1,DELIVERY SERVICE-HIGH RISK,Inpatient,0722,,,0,551.00,551.00,551.00,551.00
30402002_1,DELIVERY SERVICE-HIGH RISK,Outpatient,0722,,,0,551.00,551.00,551.00,551.00
30402017_1,AMNIOTIC FLUID INDEX-TECH,Inpatient,0402,76815,,0,661.00,661.00,661.00,661.00
30402017_1,AMNIOTIC FLUID INDEX-TECH,Outpatient,0402,76815,,0,661.00,661.00,661.00,661.00
30403000_1,UNSCHEDULED C-SECTION,Inpatient,0720,,,0,551.00,551.00,551.00,551.00
30403000_1,UNSCHEDULED C-SECTION,Outpatient,0720,,,0,551.00,551.00,551.00,551.00
30403010_1,IV INFUSION 1ST HOUR,Inpatient,0269,96365,,0,896.00,896.00,896.00,896.00
30403010_1,IV INFUSION 1ST HOUR,Outpatient,0269,96365,,0,896.00,896.00,896.00,896.00
30403011_1,IV INFUSION EACH ADD'L HOUR,Inpatient,0269,96366,,0,200.00,200.00,200.00,200.00
30403011_1,IV INFUSION EACH ADD'L HOUR,Outpatient,0269,96366,,0,200.00,200.00,200.00,200.00
30594204_1,ROOM/BED MIU BEDSIDE CHGS,Inpatient,0720,,,0,920.00,920.00,920.00,920.00
30594204_1,ROOM/BED MIU BEDSIDE CHGS,Outpatient,0720,,,0,920.00,920.00,920.00,920.00
30594212_1,ROOM/BED MIU BEDSIDE CHGS,Inpatient,0720,,,0,239.00,239.00,239.00,239.00
30594212_1,ROOM/BED MIU BEDSIDE CHGS,Outpatient,0720,,,0,239.00,239.00,239.00,239.00
30601025_1,FETAL MONITOR EXTERNAL,Inpatient,0721,,,0,478.00,478.00,478.00,478.00
30601025_1,FETAL MONITOR EXTERNAL,Outpatient,0721,,,0,478.00,478.00,478.00,478.00
30601033_1,FETAL MONITOR PER SHIFT,Inpatient,0720,,,0,317.00,317.00,317.00,317.00
30601033_1,FETAL MONITOR PER SHIFT,Outpatient,0720,,,0,317.00,317.00,317.00,317.00
30601041_1,CARDIAC MONITOR,Inpatient,0720,,,0,104.00,104.00,104.00,104.00
30601041_1,CARDIAC MONITOR,Outpatient,0720,,,0,104.00,104.00,104.00,104.00
30602000_1,L&D VAGINAL DELIVERY SINGLE,Ambulatory Surgical,0720,59409,,0,3628.00,3628.00,3628.00,3628.00
30602000_1,L&D VAGINAL DELIVERY SINGLE,Inpatient,0720,59409,,0,3628.00,3628.00,3628.00,3628.00
30602001_1,L&D VAGINAL DELIVERY MULTIPLE,Ambulatory Surgical,0720,59409,,0,4378.00,4378.00,4378.00,4378.00
30602001_1,L&D VAGINAL DELIVERY MULTIPLE,Inpatient,0720,59409,,0,4378.00,4378.00,4378.00,4378.00
30900807_1,LABOR CHECK,Inpatient,0721,,,0,524.00,524.00,524.00,524.00
30900807_1,LABOR CHECK,Outpatient,0721,,,0,524.00,524.00,524.00,524.00
31100100_1,ER PROCEDURE 1ST HR,Inpatient,0270,,,0,875.00,875.00,875.00,875.00
31100100_1,ER PROCEDURE 1ST HR,Outpatient,0270,,,0,875.00,875.00,875.00,875.00
31100118_1,ER PROCEDURE .25 HR,Inpatient,0270,,,0,218.00,218.00,218.00,218.00
31100118_1,ER PROCEDURE .25 HR,Outpatient,0270,,,0,218.00,218.00,218.00,218.00
31101108_1,OR MAJOR  BASIC,Ambulatory Surgical,0360,,,0,4728.00,4728.00,4728.00,4728.00
31101108_1,OR MAJOR  BASIC,Inpatient,0360,,,0,4728.00,4728.00,4728.00,4728.00
31101116_1,OR PER ADDITIONAL .25 HR,Ambulatory Surgical,0360,,,0,1181.00,1181.00,1181.00,1181.00
31101116_1,OR PER ADDITIONAL .25 HR,Inpatient,0360,,,0,1181.00,1181.00,1181.00,1181.00
31101124_1,OR UP TO FIRST HR,Ambulatory Surgical,0360,,,0,4728.00,4728.00,4728.00,4728.00
31101124_1,OR UP TO FIRST HR,Inpatient,0360,,,0,4728.00,4728.00,4728.00,4728.00
31102106_1,OR MINOR BASIC,Ambulatory Surgical,0360,,,0,1951.00,1951.00,1951.00,1951.00
31102106_1,OR MINOR BASIC,Inpatient,0360,,,0,1951.00,1951.00,1951.00,1951.00
31102114_1,OR MIN PER .25 HR,Ambulatory Surgical,0360,,,0,977.00,977.00,977.00,977.00
31102114_1,OR MIN PER .25 HR,Inpatient,0360,,,0,977.00,977.00,977.00,977.00
31102122_1,MINOR SURGERY FIRST HR,Ambulatory Surgical,0360,,,0,3545.00,3545.00,3545.00,3545.00
31102122_1,MINOR SURGERY FIRST HR,Inpatient,0360,,,0,3545.00,3545.00,3545.00,3545.00
31103104_1,OR MIN OP BASIC,Ambulatory Surgical,0360,,,0,1708.00,1708.00,1708.00,1708.00
31103104_1,OR MIN OP BASIC,Inpatient,0360,,,0,1708.00,1708.00,1708.00,1708.00
31103112_1,OR O/P PER .25 HR,Ambulatory Surgical,0360,,,0,436.00,436.00,436.00,436.00
31103112_1,OR O/P PER .25 HR,Inpatient,0360,,,0,436.00,436.00,436.00,436.00
31104010_1,LEVEL 3 OR PER MINUTE,Ambulatory Surgical,0360,,,0,214.00,214.00,214.00,214.00
31104010_1,LEVEL 3 OR PER MINUTE,Inpatient,0360,,,0,214.00,214.00,214.00,214.00
31104037_1,LEVEL 2 OR PER MINUTE,Ambulatory Surgical,0360,,,0,188.00,188.00,188.00,188.00
31104037_1,LEVEL 2 OR PER MINUTE,Inpatient,0360,,,0,188.00,188.00,188.00,188.00
31104046_1,LEVEL 1 OR PER MINUTE,Ambulatory Surgical,0360,,,0,162.00,162.00,162.00,162.00
31104046_1,LEVEL 1 OR PER MINUTE,Inpatient,0360,,,0,162.00,162.00,162.00,162.00
31104111_1,OR ANESTHESIA FACIL FEE/MINUTE,Inpatient,0370,,,0,49.00,49.00,49.00,49.00
31104111_1,OR ANESTHESIA FACIL FEE/MINUTE,Outpatient,0370,,,0,49.00,49.00,49.00,49.00
31110129_1,LEVEL 4 OR PER MINUTE,Ambulatory Surgical,0360,,,0,357.00,357.00,357.00,357.00
31110129_1,LEVEL 4 OR PER MINUTE,Inpatient,0360,,,0,357.00,357.00,357.00,357.00
31294259_1,CASTING SUPPLY/APP PLASTER,Inpatient,0271,,,0,411.00,411.00,411.00,411.00
31294259_1,CASTING SUPPLY/APP PLASTER,Outpatient,0271,,,0,411.00,411.00,411.00,411.00
31295009_1,SPLINT SUPPLY/APPL PLASTER,Inpatient,0271,,,0,300.00,300.00,300.00,300.00
31295009_1,SPLINT SUPPLY/APPL PLASTER,Outpatient,0271,,,0,300.00,300.00,300.00,300.00
31300858_1,RR PER ADDITIONAL .25 HR,Inpatient,0710,,,0,301.00,301.00,301.00,301.00
31300858_1,RR PER ADDITIONAL .25 HR,Outpatient,0710,,,0,301.00,301.00,301.00,301.00
31300874_1,RR-UP TO 1 HOUR,Inpatient,0710,,,0,1418.00,1418.00,1418.00,1418.00
31300874_1,RR-UP TO 1 HOUR,Outpatient,0710,,,0,1418.00,1418.00,1418.00,1418.00
31301765_1,FOGARTY CATHETERS,Inpatient,0272,C1757,,0,510.00,510.00,510.00,510.00
31301765_1,FOGARTY CATHETERS,Outpatient,0272,C1757,,0,510.00,510.00,510.00,510.00
31302912_1,JACKSON PRATT DRN,Inpatient,0270,,,0,137.00,137.00,137.00,137.00
31302912_1,JACKSON PRATT DRN,Outpatient,0270,,,0,137.00,137.00,137.00,137.00
31303795_1,CAST FIBERGLASS ROLL,Inpatient,0271,,,0,32.00,32.00,32.00,32.00
31303795_1,CAST FIBERGLASS ROLL,Outpatient,0271,,,0,32.00,32.00,32.00,32.00
31304207_1,STAPLE-COVENTRY,Inpatient,0272,,,0,159.00,159.00,159.00,159.00
31304207_1,STAPLE-COVENTRY,Outpatient,0272,,,0,159.00,159.00,159.00,159.00
31304223_1,STAPLE-RICHARDS,Inpatient,0272,,,0,454.00,454.00,454.00,454.00
31304223_1,STAPLE-RICHARDS,Outpatient,0272,,,0,454.00,454.00,454.00,454.00
31304884_1,SUTURE GENERAL,Inpatient,0272,,,0,60.00,60.00,60.00,60.00
31304884_1,SUTURE GENERAL,Outpatient,0272,,,0,60.00,60.00,60.00,60.00
31305048_1,VACURETTE TIPS,Inpatient,0272,,,0,73.00,73.00,73.00,73.00
31305048_1,VACURETTE TIPS,Outpatient,0272,,,0,73.00,73.00,73.00,73.00
31308364_1,ANES BRONCHO CATH,Inpatient,0270,,,0,951.00,951.00,951.00,951.00
31308364_1,ANES BRONCHO CATH,Outpatient,0270,,,0,951.00,951.00,951.00,951.00
31308919_1,HEAT MOISTURE EXCHANGER,Inpatient,0270,,,0,69.00,69.00,69.00,69.00
31308919_1,HEAT MOISTURE EXCHANGER,Outpatient,0270,,,0,69.00,69.00,69.00,69.00
31400246_1,ESSURE BIRTHCONTROL IMPLANT,Inpatient,0278,A4264,,0,5335.00,5335.00,5335.00,5335.00
31400246_1,ESSURE BIRTHCONTROL IMPLANT,Outpatient,0278,A4264,,0,5335.00,5335.00,5335.00,5335.00
31400312_1,"INTRODUCER, PERITONEAL CATH",Inpatient,0272,C1894,,0,318.00,318.00,318.00,318.00
31400312_1,"INTRODUCER, PERITONEAL CATH",Outpatient,0272,C1894,,0,318.00,318.00,318.00,318.00
31500000_1,PREP WET,Inpatient,0272,,,0,68.00,68.00,68.00,68.00
31500000_1,PREP WET,Outpatient,0272,,,0,68.00,68.00,68.00,68.00
31500001_1,BLADE TIER 1,Inpatient,0272,,,0,156.00,156.00,156.00,156.00
31500001_1,BLADE TIER 1,Outpatient,0272,,,0,156.00,156.00,156.00,156.00
31500002_1,BLADE TIER 2,Inpatient,0272,,,0,520.00,520.00,520.00,520.00
31500002_1,BLADE TIER 2,Outpatient,0272,,,0,520.00,520.00,520.00,520.00
31500003_1,BLADE TIER 3,Inpatient,0272,,,0,1560.00,1560.00,1560.00,1560.00
31500003_1,BLADE TIER 3,Outpatient,0272,,,0,1560.00,1560.00,1560.00,1560.00
31500004_1,BLADE TIER 4,Inpatient,0272,,,0,3120.00,3120.00,3120.00,3120.00
31500004_1,BLADE TIER 4,Outpatient,0272,,,0,3120.00,3120.00,3120.00,3120.00
31500010_1,DRILL BIT TIER 1,Inpatient,0272,,,0,624.00,624.00,624.00,624.00
31500010_1,DRILL BIT TIER 1,Outpatient,0272,,,0,624.00,624.00,624.00,624.00
31500011_1,DRILL BIT TIER 2,Inpatient,0272,,,0,1144.00,1144.00,1144.00,1144.00
31500011_1,DRILL BIT TIER 2,Outpatient,0272,,,0,1144.00,1144.00,1144.00,1144.00
31500012_1,DRILL BIT TIER 3,Inpatient,0272,,,0,2600.00,2600.00,2600.00,2600.00
31500012_1,DRILL BIT TIER 3,Outpatient,0272,,,0,2600.00,2600.00,2600.00,2600.00
31500013_1,DRILL BIT TIER 4,Inpatient,0272,,,0,4160.00,4160.00,4160.00,4160.00
31500013_1,DRILL BIT TIER 4,Outpatient,0272,,,0,4160.00,4160.00,4160.00,4160.00
31500014_1,DRILL TIER 1,Inpatient,0272,,,0,520.00,520.00,520.00,520.00
31500014_1,DRILL TIER 1,Outpatient,0272,,,0,520.00,520.00,520.00,520.00
31500015_1,DRILL TIER 2,Inpatient,0272,,,0,1014.00,1014.00,1014.00,1014.00
31500015_1,DRILL TIER 2,Outpatient,0272,,,0,1014.00,1014.00,1014.00,1014.00
31500016_1,DRILL TIER 3,Inpatient,0272,,,0,1560.00,1560.00,1560.00,1560.00
31500016_1,DRILL TIER 3,Outpatient,0272,,,0,1560.00,1560.00,1560.00,1560.00
31500017_1,DRILL TIER 4,Inpatient,0272,,,0,2059.00,2059.00,2059.00,2059.00
31500017_1,DRILL TIER 4,Outpatient,0272,,,0,2059.00,2059.00,2059.00,2059.00
31500018_1,DRILL TIER 5,Inpatient,0272,,,0,2600.00,2600.00,2600.00,2600.00
31500018_1,DRILL TIER 5,Outpatient,0272,,,0,2600.00,2600.00,2600.00,2600.00
31500020_1,PLATE TIER 1,Inpatient,0278,C1713,,0,520.00,520.00,520.00,520.00
31500020_1,PLATE TIER 1,Outpatient,0278,C1713,,0,520.00,520.00,520.00,520.00
31500021_1,PLATE TIER 2,Inpatient,0278,C1713,,0,1560.00,1560.00,1560.00,1560.00
