,Procedure #,Procedure Description,CPT/HCPC,Charge,Blue Cross Charge,United Health Charge,Providence Charge,Aetna Charge,Cigna Charge,Moda Charge,First Choice Health Charge,First Choice Health - GSH Charge,EOCCO OP Charge,EOCCO IP Charge,Valenz Health Charge,Pacific Source Charge,PHCS Charge,MODA Advantage OP Charge,De-Identified Minimum Charge,De-Identified Maximum Charge
10,10060,DRAIN SKIN ABSCESS SIMPLE,10060,389.0,350.1,350.1,369.54999999999995,369.54999999999995,369.54999999999995,369.54999999999995,361.77000000000004,233.39999999999998,143.93,334.54,377.33,369.54999999999995,369.54999999999995,171.549,143.93,377.33
11,HGS70228,"HGS I&D ABCESS, SIMPLE-CHEMO",10060,271.0,243.9,243.9,257.45,257.45,257.45,257.45,252.03,162.6,100.27,233.06,262.87,257.45,257.45,119.511,100.27,262.87
12,3750023,DRAINAGE SKIN ABSCESS COMPLICATE,10061,341.0,306.90000000000003,306.90000000000003,323.95,323.95,323.95,323.95,317.13,204.6,126.17,293.26,330.77,323.95,323.95,150.381,126.17,330.77
13,10061,DRAIN SKIN ABSCESS COMPLIC,10061,692.0,622.8000000000001,622.8000000000001,657.4,657.4,657.4,657.4,643.5600000000001,415.2,256.04,595.12,671.24,657.4,657.4,305.172,256.04,671.24
14,3750031,DRAINAGE PILONIDAL CYST,10080,291.0,261.90000000000003,261.90000000000003,276.45,276.45,276.45,276.45,270.63,174.6,107.67,250.26,282.27,276.45,276.45,128.33100000000002,107.67,282.27
15,10080,DRAIN PILONIDAL CYST SIMPL,10080,389.0,350.1,350.1,369.54999999999995,369.54999999999995,369.54999999999995,369.54999999999995,361.77000000000004,233.39999999999998,143.93,334.54,377.33,369.54999999999995,369.54999999999995,171.549,143.93,377.33
16,3754991,I & D PILONIDAL CYST COMPL,10081,2036.0,1832.4,1832.4,1934.1999999999998,1934.1999999999998,1934.1999999999998,1934.1999999999998,1893.48,1221.6,753.3199999999999,1750.96,1974.9199999999998,1934.1999999999998,1934.1999999999998,897.8760000000001,753.3199999999999,1974.9199999999998
17,10081,DRAIN PILONIDAL CYST COMPLIC,10081,713.0,641.7,641.7,677.35,677.35,677.35,677.35,663.09,427.8,263.81,613.18,691.61,677.35,677.35,314.433,263.81,691.61
18,10081,DRAIN PILONIDAL CYST COMPLIC,10081,675.0,607.5,607.5,641.25,641.25,641.25,641.25,627.75,405.0,249.75,580.5,654.75,641.25,641.25,297.675,249.75,654.75
19,3750049,REMOVE FOREIGN BODY SMPL,10120,290.0,261.0,261.0,275.5,275.5,275.5,275.5,269.7,174.0,107.3,249.4,281.3,275.5,275.5,127.89,107.3,281.3
20,10120,REMOVE FOREIGN BODY SIMPLE,10120,398.0,358.2,358.2,378.09999999999997,378.09999999999997,378.09999999999997,378.09999999999997,370.14000000000004,238.79999999999998,147.26,342.28,386.06,378.09999999999997,378.09999999999997,175.518,147.26,386.06
21,3750064,DRAINAGE OF HEMATOMA/FLUID,10140,2296.0,2066.4,2066.4,2181.2,2181.2,2181.2,2181.2,2135.28,1377.6,849.52,1974.56,2227.12,2181.2,2181.2,1012.536,849.52,2227.12
22,10140,DRAINAGE OF HEMATOMA/FLUID,10140,523.0,470.7,470.7,496.84999999999997,496.84999999999997,496.84999999999997,496.84999999999997,486.39000000000004,313.8,193.51,449.78,507.31,496.84999999999997,496.84999999999997,230.643,193.51,507.31
23,HGS10140,HGS DRAINAGE OF HEMATOMA/FLUID,10140,4390.0,3951.0,3951.0,4170.5,4170.5,4170.5,4170.5,4082.7000000000003,2634.0,1624.3,3775.4,4258.3,4170.5,4170.5,1935.99,1624.3,4258.3
24,HGSP10140,HGS PR DRAINAGE OF HEMATOMA/FLUID,10140,591.0,531.9,531.9,561.4499999999999,561.4499999999999,561.4499999999999,561.4499999999999,549.63,354.59999999999997,218.67,508.26,573.27,561.4499999999999,561.4499999999999,260.63100000000003,218.67,573.27
25,3750072,PUNCTURE DRAINAGE OF LESION,10160,195.0,175.5,175.5,185.25,185.25,185.25,185.25,181.35000000000002,117.0,72.15,167.7,189.15,185.25,185.25,85.99499999999999,72.15,189.15
26,10160,PUNCTURE DRAINAGE OF LESION,10160,431.0,387.90000000000003,387.90000000000003,409.45,409.45,409.45,409.45,400.83000000000004,258.59999999999997,159.47,370.65999999999997,418.07,409.45,409.45,190.071,159.47,418.07
27,HGSP10180,"HGS PR COMPLEX DRAINAGE, WOUND",10180,630.0,567.0,567.0,598.5,598.5,598.5,598.5,585.9,378.0,233.1,541.8,611.1,598.5,598.5,277.83,233.1,611.1
28,3750080,DEBRIDE INFECTED SKIN,11000,300.0,270.0,270.0,285.0,285.0,285.0,285.0,279.0,180.0,111.0,258.0,291.0,285.0,285.0,132.3,111.0,291.0
29,11000,SURGICAL CLEANSING OF SKIN,11000,151.0,135.9,135.9,143.45,143.45,143.45,143.45,140.43,90.6,55.87,129.85999999999999,146.47,143.45,143.45,66.591,55.87,146.47
30,11004,SURG CLEANSING GENITALIA & PERINEUM,11004,1456.0,1310.4,1310.4,1383.2,1383.2,1383.2,1383.2,1354.0800000000002,873.6,538.72,1252.16,1412.32,1383.2,1383.2,642.096,538.72,1412.32
31,11005,SURG CLEANSING ABD WALL,11005,1840.0,1656.0,1656.0,1748.0,1748.0,1748.0,1748.0,1711.2,1104.0,680.8,1582.3999999999999,1784.8,1748.0,1748.0,811.4399999999999,680.8,1784.8
32,HGSP11005,HGS PR DEBRIDEMENT ABDOMINAL WALL,11005,2658.0,2392.2000000000003,2392.2000000000003,2525.1,2525.1,2525.1,2525.1,2471.94,1594.8,983.46,2285.88,2578.2599999999998,2525.1,2525.1,1172.1779999999999,983.46,2578.2599999999998
33,HGSP11006,HGS PR DEBRIDEMENT GENITAL/PER/ABD WALL,11006,2398.0,2158.2000000000003,2158.2000000000003,2278.1,2278.1,2278.1,2278.1,2230.1400000000003,1438.8,887.26,2062.2799999999997,2326.06,2278.1,2278.1,1057.518,887.26,2326.06
34,11008,REMOVE MESH FROM ABD WALL,11008,689.0,620.1,620.1,654.55,654.55,654.55,654.55,640.77,413.4,254.93,592.54,668.3299999999999,654.55,654.55,303.849,254.93,668.3299999999999
35,11010,DEBRIDE ASSOC OPEN FX/DISLOC SKIN/SUBQ,11010,1292.0,1162.8,1162.8,1227.3999999999999,1227.3999999999999,1227.3999999999999,1227.3999999999999,1201.5600000000002,775.1999999999999,478.04,1111.12,1253.24,1227.3999999999999,1227.3999999999999,569.772,478.04,1253.24
36,11011,DEBRIDE ASSOC OPEN FX/DISLOC SKIN/MUSCLE,11011,1396.0,1256.4,1256.4,1326.2,1326.2,1326.2,1326.2,1298.28,837.6,516.52,1200.56,1354.12,1326.2,1326.2,615.636,516.52,1354.12
37,11012,DEBRIDE ASSOC OPEN FX/DISLO SKIN/MUS/BONE,11012,1536.0,1382.4,1382.4,1459.1999999999998,1459.1999999999998,1459.1999999999998,1459.1999999999998,1428.48,921.5999999999999,568.3199999999999,1320.96,1489.92,1459.1999999999998,1459.1999999999998,677.3760000000001,568.3199999999999,1489.92
38,3750148,DEBRIDE SKIN TISSUE,11042,604.0,543.6,543.6,573.8,573.8,573.8,573.8,561.72,362.4,223.48,519.4399999999999,585.88,573.8,573.8,266.364,223.48,585.88
39,8190977,DEB SUBQ TISS 1ST 20 SQ CM,11042,587.0,528.3000000000001,528.3000000000001,557.65,557.65,557.65,557.65,545.9100000000001,352.2,217.19,504.82,569.39,557.65,557.65,258.867,217.19,569.39
40,HGSP11042,"HGS PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",11042,301.0,270.90000000000003,270.90000000000003,285.95,285.95,285.95,285.95,279.93,180.6,111.37,258.86,291.96999999999997,285.95,285.95,132.741,111.37,291.96999999999997
41,11042,"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",11042,303.0,272.7,272.7,287.84999999999997,287.84999999999997,287.84999999999997,287.84999999999997,281.79,181.79999999999998,112.11,260.58,293.90999999999997,287.84999999999997,287.84999999999997,133.623,112.11,293.90999999999997
42,HGS11042,HGS PR DEBRIDEMENT INCL SUBCUTANEOUS TISSUE,11042,92.0,82.8,82.8,87.39999999999999,87.39999999999999,87.39999999999999,87.39999999999999,85.56,55.199999999999996,34.04,79.12,89.24,87.39999999999999,87.39999999999999,40.572,34.04,89.24
43,8190993,DEB MSCL\FASCIA\SUBQ TISS 1ST 20 SQ,11043,874.0,786.6,786.6,830.3,830.3,830.3,830.3,812.82,524.4,323.38,751.64,847.78,830.3,830.3,385.434,323.38,847.78
44,HGSP11043,"HGS PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,EA ADDTL 20CM",11043,567.0,510.3,510.3,538.65,538.65,538.65,538.65,527.3100000000001,340.2,209.79,487.62,549.99,538.65,538.65,250.047,209.79,549.99
45,3750163,DEBRIDE BONE TISSUE MUSCLE,11044,1697.0,1527.3,1527.3,1612.1499999999999,1612.1499999999999,1612.1499999999999,1612.1499999999999,1578.21,1018.1999999999999,627.89,1459.42,1646.09,1612.1499999999999,1612.1499999999999,748.3770000000001,627.89,1646.09
46,HGSP11044,"HGS PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE",11044,779.0,701.1,701.1,740.05,740.05,740.05,740.05,724.47,467.4,288.23,669.9399999999999,755.63,740.05,740.05,343.53900000000004,288.23,755.63
47,11044,"DEBRIDEMENT, SKIN, SUB-Q TISSUE",11044,818.0,736.2,736.2,777.0999999999999,777.0999999999999,777.0999999999999,777.0999999999999,760.74,490.79999999999995,302.65999999999997,703.48,793.4599999999999,777.0999999999999,777.0999999999999,360.738,302.65999999999997,793.4599999999999
48,11044,"DEBRIDEMENT, SKIN, SUB-Q TISSUE",11044,804.0,723.6,723.6,763.8,763.8,763.8,763.8,747.72,482.4,297.48,691.4399999999999,779.88,763.8,763.8,354.564,297.48,779.88
49,11045,"DEBRIDEMENT, SKIN, SUB-Q TISSUE,EACH ADD 20 SQ CM",11045,110.0,99.0,99.0,104.5,104.5,104.5,104.5,102.30000000000001,66.0,40.7,94.6,106.7,104.5,104.5,48.51,40.7,106.7
50,8190985,DEB SUBQ TISS EA ADDL 20 SQ CM,11045,273.0,245.70000000000002,245.70000000000002,259.34999999999997,259.34999999999997,259.34999999999997,259.34999999999997,253.89000000000001,163.79999999999998,101.01,234.78,264.81,259.34999999999997,259.34999999999997,120.393,101.01,264.81
51,HGSP11045,HGS PR DEB SUBQ TISS EA ADDL 20 SQ CM,11045,114.0,102.60000000000001,102.60000000000001,108.3,108.3,108.3,108.3,106.02000000000001,68.39999999999999,42.18,98.03999999999999,110.58,108.3,108.3,50.273999999999994,42.18,110.58
52,11046,"DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,EACH ADD 20 SQ CM",11046,188.0,169.20000000000002,169.20000000000002,178.6,178.6,178.6,178.6,174.84,112.8,69.56,161.68,182.35999999999999,178.6,178.6,82.908,69.56,182.35999999999999
53,HGSP11046,HGS PR DEBRIDE MUSCLE/FASCIA 20 SQ CM/<,11046,249.0,224.1,224.1,236.54999999999998,236.54999999999998,236.54999999999998,236.54999999999998,231.57000000000002,149.4,92.13,214.14,241.53,236.54999999999998,236.54999999999998,109.809,92.13,241.53
54,8190225,PARE/CUT BENIGN SINGLE LESION,11055,139.0,125.10000000000001,125.10000000000001,132.04999999999998,132.04999999999998,132.04999999999998,132.04999999999998,129.27,83.39999999999999,51.43,119.53999999999999,134.82999999999998,132.04999999999998,132.04999999999998,61.299,51.43,134.82999999999998
55,11055,"TRIM HYPERKERATOTIC SKIN LESION, ONE",11055,124.0,111.60000000000001,111.60000000000001,117.8,117.8,117.8,117.8,115.32000000000001,74.39999999999999,45.88,106.64,120.28,117.8,117.8,54.684,45.88,120.28
56,11056,"TRIM HYPERKERATOTIC SKIN LESION,2-4",11056,153.0,137.70000000000002,137.70000000000002,145.35,145.35,145.35,145.35,142.29000000000002,91.8,56.61,131.57999999999998,148.41,145.35,145.35,67.473,56.61,148.41
57,8190308,PARE/CUT 2-4 LESIONS,11056,360.0,324.0,324.0,342.0,342.0,342.0,342.0,334.8,216.0,133.2,309.6,349.2,342.0,342.0,158.76,133.2,349.2
58,8190241,PARE/CUT MORE THAN 4 LESIONS,11057,368.0,331.2,331.2,349.59999999999997,349.59999999999997,349.59999999999997,349.59999999999997,342.24,220.79999999999998,136.16,316.48,356.96,349.59999999999997,349.59999999999997,162.288,136.16,356.96
59,HGS54023,PUNCH BX SKIN SINGLE LESION,11104,568.0,511.2,511.2,539.6,539.6,539.6,539.6,528.24,340.8,210.16,488.48,550.96,539.6,539.6,250.488,210.16,550.96
60,HGSP11104,PR PUNCH BX SKIN SINGLE LESION,11104,418.0,376.2,376.2,397.09999999999997,397.09999999999997,397.09999999999997,397.09999999999997,388.74,250.79999999999998,154.66,359.48,405.46,397.09999999999997,397.09999999999997,184.33800000000002,154.66,405.46
61,8191132,PUNCH BIOPSY SINGLE LESION,11104,447.0,402.3,402.3,424.65,424.65,424.65,424.65,415.71000000000004,268.2,165.39,384.42,433.59,424.65,424.65,197.12699999999998,165.39,433.59
62,HGS54024,PUNCH BX SKIN EA SEP/ADDL,11105,188.0,169.20000000000002,169.20000000000002,178.6,178.6,178.6,178.6,174.84,112.8,69.56,161.68,182.35999999999999,178.6,178.6,82.908,69.56,182.35999999999999
63,HGSP11105,PR PUNCH BX SKIN EA SEP/ADDL,11105,200.0,180.0,180.0,190.0,190.0,190.0,190.0,186.0,120.0,74.0,172.0,194.0,190.0,190.0,88.2,74.0,194.0
64,8142101,LOTC SKIN TAG REMOVAL TO 15,11200,267.0,240.3,240.3,253.64999999999998,253.64999999999998,253.64999999999998,253.64999999999998,248.31,160.2,98.78999999999999,229.62,258.99,253.64999999999998,253.64999999999998,117.747,98.78999999999999,258.99
65,3750189,REMOVAL OF SKIN TAGS,11200,253.0,227.70000000000002,227.70000000000002,240.35,240.35,240.35,240.35,235.29000000000002,151.79999999999998,93.61,217.57999999999998,245.41,240.35,240.35,111.573,93.61,245.41
66,11200,REMOVAL OF SKIN TAGS,11200,285.0,256.5,256.5,270.75,270.75,270.75,270.75,265.05,171.0,105.45,245.1,276.45,270.75,270.75,125.68499999999999,105.45,276.45
67,11307,SHAV SKIN LES 11-20MM REMAINDR BODY,11307,524.0,471.6,471.6,497.79999999999995,497.79999999999995,497.79999999999995,497.79999999999995,487.32000000000005,314.4,193.88,450.64,508.28,497.79999999999995,497.79999999999995,231.084,193.88,508.28
68,11310,"SHAV SKIN LES <5MM FACE,FACIAL",11310,311.0,279.90000000000003,279.90000000000003,295.45,295.45,295.45,295.45,289.23,186.6,115.07,267.46,301.67,295.45,295.45,137.151,115.07,301.67
69,11313,"SHAV SKIN LES >21MM FACE,FACIAL",11313,507.0,456.3,456.3,481.65,481.65,481.65,481.65,471.51000000000005,304.2,187.59,436.02,491.78999999999996,481.65,481.65,223.58700000000002,187.59,491.78999999999996
70,HGS54025,EXC TR-EXT B9+MARG>4.0 CM,11406,3712.0,3340.8,3340.8,3526.3999999999996,3526.3999999999996,3526.3999999999996,3526.3999999999996,3452.1600000000003,2227.2,1373.44,3192.32,3600.64,3526.3999999999996,3526.3999999999996,1636.992,1373.44,3600.64
71,3750197,REMOVAL SKIN LESION <= .5CM,11420,638.0,574.2,574.2,606.1,606.1,606.1,606.1,593.34,382.8,236.06,548.68,618.86,606.1,606.1,281.358,236.06,618.86
72,11420,EXC SKIN BENIG <5MM REMAINDR BODY,11420,381.0,342.90000000000003,342.90000000000003,361.95,361.95,361.95,361.95,354.33000000000004,228.6,140.97,327.65999999999997,369.57,361.95,361.95,168.021,140.97,369.57
73,HGSP11426,HGS PR EXC SKIN BENIG >4CM REMAINDR BODY,11426,852.0,766.8000000000001,766.8000000000001,809.4,809.4,809.4,809.4,792.36,511.2,315.24,732.72,826.4399999999999,809.4,809.4,375.73199999999997,315.24,826.4399999999999
74,HGS54026,EXC H-F-NK-SP B9+MARG>4 CM,11426,5266.0,4739.400000000001,4739.400000000001,5002.7,5002.7,5002.7,5002.7,4897.38,3159.6,1948.42,4528.76,5108.0199999999995,5002.7,5002.7,2322.306,1948.42,5108.0199999999995
75,11442,"EXC SKIN BENIG 1.1-2CM FACE,FACIAL",11442,1994.0,1794.6000000000001,1794.6000000000001,1894.3,1894.3,1894.3,1894.3,1854.42,1196.3999999999999,737.78,1714.84,1934.1799999999998,1894.3,1894.3,879.354,737.78,1934.1799999999998
76,11450,"EXC SWEAT GLAND LESN AXILL,SIMPL",11450,1040.0,936.0,936.0,988.0,988.0,988.0,988.0,967.2,624.0,384.8,894.4,1008.8,988.0,988.0,458.64000000000004,384.8,1008.8
77,11624,EXC SKIN MALIG 3.1-4CM REMAINDR BODY,11624,918.0,826.2,826.2,872.0999999999999,872.0999999999999,872.0999999999999,872.0999999999999,853.74,550.8,339.65999999999997,789.48,890.4599999999999,872.0999999999999,872.0999999999999,404.838,339.65999999999997,890.4599999999999
78,11626,EXC SKIN MALIG >4CM REMAINDR BODY,11626,1106.0,995.4,995.4,1050.7,1050.7,1050.7,1050.7,1028.5800000000002,663.6,409.21999999999997,951.16,1072.82,1050.7,1050.7,487.746,409.21999999999997,1072.82
79,11644,"EXC SKIN MALIG 3.1-4CM FACE,FACIAL",11644,1070.0,963.0,963.0,1016.5,1016.5,1016.5,1016.5,995.1,642.0,395.9,920.1999999999999,1037.8999999999999,1016.5,1016.5,471.87,395.9,1037.8999999999999
80,11646,"EXC SKIN MALIG >4CM FACE,FACIAL",11646,1391.0,1251.9,1251.9,1321.45,1321.45,1321.45,1321.45,1293.63,834.6,514.67,1196.26,1349.27,1321.45,1321.45,613.431,514.67,1349.27
81,3755220,TRIM NONDYSTROPHIC NAILS,11719,187.0,168.3,168.3,177.65,177.65,177.65,177.65,173.91,112.2,69.19,160.82,181.39,177.65,177.65,82.467,69.19,181.39
82,3755220,TRIM NONDYSTROPHIC NAILS,11719,195.0,175.5,175.5,185.25,185.25,185.25,185.25,181.35000000000002,117.0,72.15,167.7,189.15,185.25,185.25,85.99499999999999,72.15,189.15
83,HGS11719,HGS TRIM NONDYSTROPHIC NAIL,11719,172.0,154.8,154.8,163.4,163.4,163.4,163.4,159.96,103.2,63.64,147.92,166.84,163.4,163.4,75.852,63.64,166.84
84,11719,TRIM NAIL(S),11719,49.0,44.1,44.1,46.55,46.55,46.55,46.55,45.57,29.4,18.13,42.14,47.53,46.55,46.55,21.608999999999998,18.13,47.53
85,3750221,DEBRIDE NAIL 1-5,11720,195.0,175.5,175.5,185.25,185.25,185.25,185.25,181.35000000000002,117.0,72.15,167.7,189.15,185.25,185.25,85.99499999999999,72.15,189.15
86,11720,"DEBRIDEMENT OF NAIL(S), 1-5",11720,82.0,73.8,73.8,77.89999999999999,77.89999999999999,77.89999999999999,77.89999999999999,76.26,49.199999999999996,30.34,70.52,79.53999999999999,77.89999999999999,77.89999999999999,36.162,30.34,79.53999999999999
87,8190274,DEBRIDMENT OF NAILS 6 OR>,11721,176.0,158.4,158.4,167.2,167.2,167.2,167.2,163.68,105.6,65.12,151.35999999999999,170.72,167.2,167.2,77.616,65.12,170.72
88,HGSP11721,HGS PR DEBRIDMENT OF NAILS 6 OR>,11721,65.0,58.5,58.5,61.75,61.75,61.75,61.75,60.45,39.0,24.05,55.9,63.05,61.75,61.75,28.665000000000003,24.05,63.05
89,3750239,REMOVAL OF NAIL PLATE,11730,215.0,193.5,193.5,204.25,204.25,204.25,204.25,199.95000000000002,129.0,79.55,184.9,208.54999999999998,204.25,204.25,94.815,79.55,208.54999999999998
90,HGS11730,HGS REMOVAL OF NAIL PLATE,11730,561.0,504.90000000000003,504.90000000000003,532.9499999999999,532.9499999999999,532.9499999999999,532.9499999999999,521.73,336.59999999999997,207.57,482.46,544.17,532.9499999999999,532.9499999999999,247.401,207.57,544.17
91,11730,REMOVAL OF NAIL PLATE,11730,306.0,275.40000000000003,275.40000000000003,290.7,290.7,290.7,290.7,284.58000000000004,183.6,113.22,263.15999999999997,296.82,290.7,290.7,134.946,113.22,296.82
92,3750247,REMOVE NAIL PLATE ADD-ON,11732,133.0,119.7,119.7,126.35,126.35,126.35,126.35,123.69000000000001,79.8,49.21,114.38,129.01,126.35,126.35,58.653,49.21,129.01
93,11732,REMOVE ADDITIONAL NAIL PLATE,11732,145.0,130.5,130.5,137.75,137.75,137.75,137.75,134.85,87.0,53.65,124.7,140.65,137.75,137.75,63.945,53.65,140.65
94,3750254,DRAIN BLOOD FROM UNDER NAIL,11740,253.0,227.70000000000002,227.70000000000002,240.35,240.35,240.35,240.35,235.29000000000002,151.79999999999998,93.61,217.57999999999998,245.41,240.35,240.35,111.573,93.61,245.41
95,11740,DRAIN BLOOD FROM UNDER NAIL,11740,135.0,121.5,121.5,128.25,128.25,128.25,128.25,125.55000000000001,81.0,49.95,116.1,130.95,128.25,128.25,59.535,49.95,130.95
96,3750262,REMOVAL OF NAIL BED,11750,1095.0,985.5,985.5,1040.25,1040.25,1040.25,1040.25,1018.35,657.0,405.15,941.6999999999999,1062.1499999999999,1040.25,1040.25,482.895,405.15,1062.1499999999999
97,11750,REMOVAL OF NAIL BED,11750,724.0,651.6,651.6,687.8,687.8,687.8,687.8,673.32,434.4,267.88,622.64,702.28,687.8,687.8,319.284,267.88,702.28
98,3750270,REPAIR OF NAIL BED,11760,321.0,288.90000000000003,288.90000000000003,304.95,304.95,304.95,304.95,298.53000000000003,192.6,118.77,276.06,311.37,304.95,304.95,141.561,118.77,311.37
99,11760,RECONSTRUC OF NAIL BED,11760,590.0,531.0,531.0,560.5,560.5,560.5,560.5,548.7,354.0,218.3,507.4,572.3,560.5,560.5,260.19,218.3,572.3
100,3750288,EXCISION OF NAIL FOLD TOE,11765,300.0,270.0,270.0,285.0,285.0,285.0,285.0,279.0,180.0,111.0,258.0,291.0,285.0,285.0,132.3,111.0,291.0
101,11765,"EXCISION OF NAIL FOLD, TOE",11765,256.0,230.4,230.4,243.2,243.2,243.2,243.2,238.08,153.6,94.72,220.16,248.32,243.2,243.2,112.896,94.72,248.32
102,11770,REMV PILONIDAL LESION SIMPLE,11770,759.0,683.1,683.1,721.05,721.05,721.05,721.05,705.87,455.4,280.83,652.74,736.23,721.05,721.05,334.719,280.83,736.23
103,11771,REMV PILONIDAL LESION EXTENS,11771,1552.0,1396.8,1396.8,1474.3999999999999,1474.3999999999999,1474.3999999999999,1474.3999999999999,1443.3600000000001,931.1999999999999,574.24,1334.72,1505.44,1474.3999999999999,1474.3999999999999,684.432,574.24,1505.44
104,11772,REMV PILONIDAL LESION COMPLIC,11772,1889.0,1700.1000000000001,1700.1000000000001,1794.55,1794.55,1794.55,1794.55,1756.77,1133.3999999999999,698.93,1624.54,1832.33,1794.55,1794.55,833.049,698.93,1832.33
105,3756228,RMVL NONBIODGRD RX DELIVERY IMPLNT,11982,842.0,757.8000000000001,757.8000000000001,799.9,799.9,799.9,799.9,783.0600000000001,505.2,311.54,724.12,816.74,799.9,799.9,371.322,311.54,816.74
106,11982,REMOVAL DRUG IMPLANT DEVICE,11982,612.0,550.8000000000001,550.8000000000001,581.4,581.4,581.4,581.4,569.1600000000001,367.2,226.44,526.3199999999999,593.64,581.4,581.4,269.892,226.44,593.64
107,3750296,LACERATION <2.5CM,12001,308.0,277.2,277.2,292.59999999999997,292.59999999999997,292.59999999999997,292.59999999999997,286.44,184.79999999999998,113.96,264.88,298.76,292.59999999999997,292.59999999999997,135.828,113.96,298.76
108,HGSP12001,HGS PR SIMPLE REPAIR OF SUPERFICIAL WOUNDS =>2.5 CM,12001,323.0,290.7,290.7,306.84999999999997,306.84999999999997,306.84999999999997,306.84999999999997,300.39000000000004,193.79999999999998,119.51,277.78,313.31,306.84999999999997,306.84999999999997,142.443,119.51,313.31
109,12001,REPR SUPERF WND BODY <2.5CM,12001,474.0,426.6,426.6,450.29999999999995,450.29999999999995,450.29999999999995,450.29999999999995,440.82000000000005,284.4,175.38,407.64,459.78,450.29999999999995,450.29999999999995,209.034,175.38,459.78
110,3750304,SMPL REPAIR WOUND 2.6-7.5CM,12002,362.0,325.8,325.8,343.9,343.9,343.9,343.9,336.66,217.2,133.94,311.32,351.14,343.9,343.9,159.642,133.94,351.14
111,HGS12002,HGS SMPL REPAIR WOUND 2.6-7.5CM,12002,539.0,485.1,485.1,512.05,512.05,512.05,512.05,501.27000000000004,323.4,199.43,463.54,522.83,512.05,512.05,237.699,199.43,522.83
112,12002,REPR SUP NPTERF WND BODY 2.6-7.5,12002,530.0,477.0,477.0,503.5,503.5,503.5,503.5,492.90000000000003,318.0,196.1,455.8,514.1,503.5,503.5,233.73,196.1,514.1
113,3750312,REPAIR SMPL SUP WND 7.6-12.5CM,12004,421.0,378.90000000000003,378.90000000000003,399.95,399.95,399.95,399.95,391.53000000000003,252.6,155.77,362.06,408.37,399.95,399.95,185.661,155.77,408.37
