,Charge Code,Description,CPT/HCPCS Code,Price
81,27000013.0,Hc Disp Bladder Color Cuff 18x3,,2013.55
82,27000014.0,Hc Frag Pak,,455.13
83,27000015.0,Hc Glove Raditn Sz 7 1/2 - 95-395,,361.24
84,27000016.0,Hc Pouch Lap Sac 6 X 4in,,529.89
85,27000017.0,Hc Pouch Lap Sac 8 X 5in,,457.93
86,27000018.0,Hc Rlv Lm Sns Illmntion System,,2200.88
87,27000019.0,Hc Rlv Sdkck Sns Gde Cath Handle,,464.35
88,27000020.0,Hc Rlv Sinus Balloon Inflatn Dvc,,562.44
89,27000021.0,Hc Rlv Sl Pr Sns Blln Cthtr,,3765.02
90,27000022.0,Hc Rlv Vrtx Sns Irrgtn Catheter,,797.35
91,27000023.0,Hc Rlv Xtnsn Tubng (hi Pressure),,203.66
92,27000024.0,Hc Sht Reinf .005 X 6 X 8in,,485.69
93,27000025.0,Hc Sht Reinf 0.040in Silastic,,861.39
94,27000026.0,Hc Sleeve Knee Scd Lg,,348.52
95,27000027.0,Hc Sleeve Knee Scd Med,,271.07
96,27000028.0,Hc Sleeve Scd Knee Beriatic,,462.72
97,27000029.0,Hc Splint Knee T-rom Med,,660.0
98,27000030.0,"Hc Splint,knee T-rom Lg",,660.0
99,27000031.0,Hc Stem Hip Accolade Tmzf #2,C1776,
100,27000032.0,Hc Stem Hip Accolade Tmzf #3,C1776,
101,27000033.0,Hc Stem Mrs 11x127 Curved Fem,C1776,
102,27000034.0,Hc Strp Ft/ank Distractor W/guhl,,349.0
103,27000035.0,Hc Total Plus Pak 20g,,1924.44
104,27000036.0,Hc Total Plus Pak 23g,,2479.3
105,27000037.0,Hc Unitrax Modular Endo Head 41,C1776,
106,27000038.0,Hc Unitrax Modular Endo Head 43,C1776,
107,27000039.0,Hc Unitrax Modular Endo Head 44,C1776,
108,27000040.0,Hc Unitrax Modular Endo Head 46,C1776,
109,27000041.0,Hc Unitrax Modular Endo Head 48,C1776,
110,27000042.0,Hc Universal Arm Sling 79-84300,A4565,42.57
111,27000044.0,Hc Id Marker 1st Shape,A4648,
112,27000045.0,Hc Id Marker 2nd Shape,,551.24
113,27000046.0,Hc J Wires Kopens,,242.03
114,27000047.0,Hc Standard Probe Eviva,,1310.33
115,27000050.0,Hc Accustick Set,C1894,585.3
116,27000051.0,Hc Angio Seal,C1760,1238.01
117,27000052.0,Hc Angio Tray,,625.77
118,27000053.0,Hc Arrow Intro Sheath,C1894,413.37
119,27000054.0,Hc Asap Bx/temno/biopince,,478.0
120,27000055.0,Hc Bone Cement Kyphx,,994.59
121,27000056.0,Hc Bx Bone,,511.59
122,27000057.0,Hc Bx Introducer,,310.14
123,27000058.0,Hc Cath Arrow Balloon Wedge Prsr,,282.51
124,27000059.0,Hc Central Line Tray,C1751,432.15
125,27000060.0,Hc Coil Pusher,,916.33
126,27000061.0,Hc Coil Spring,,504.93
127,27000062.0,Hc Cook Micropuncture Intro Set,,427.72
128,27000063.0,Hc Cytology Brush,,703.58
129,27000064.0,Hc Drain Attachment Device,,136.71
130,27000065.0,Hc Ethidol,,1337.0
131,27000066.0,Hc Gastrojejunostomy,B4087,1118.23
132,27000067.0,Hc Glefoam,,892.53
133,27000068.0,Hc Glue Tru Fill,,7493.0
134,27000069.0,Hc Heimlick Valve,,173.91
135,27000070.0,Hc Liver Biopsy Kit,,2252.08
136,27000071.0,Hc Menghini Surecut,,412.79
137,27000072.0,Hc Micro Coil,,580.28
138,27000073.0,Hc Misc Inflation Device Presto,,408.0
139,27000074.0,Hc Misc Syvek Patch Hermanderm,,404.4
140,27000075.0,Hc Miscellaneous Supply,,0.0
141,27000076.0,Hc Needle Guide Kit (angio Only),,189.66
142,27000077.0,Hc Needle Spinal Extra Long,,116.52
143,27000078.0,Hc Needle Yueh,,204.36
144,27000079.0,Hc Particles,,1245.37
145,27000080.0,Hc Peel Away,,527.68
146,27000081.0,Hc Probe Cover,,189.66
147,27000082.0,Hc Right Heart Cath Kit,,242.0
148,27000083.0,Hc Safe T Centesis Kit,,497.01
149,27000084.0,Hc Sizing Cath,,598.6
150,27000085.0,Hc Stone Removal Basket,,1503.84
151,27000086.0,Hc T-fastener Gastric,,467.85
152,27000087.0,Hc Thoracic Vent Tray,,1146.81
153,27000088.0,Hc Thuey Borst Hemostatic Value,,258.0
154,27000089.0,Hc Tips Set,,3036.72
155,27000090.0,Hc Torque Device,,267.93
156,27000091.0,Hc Uresil Suction Bag,,275.73
157,27000092.0,Hc Van Sonn One Step,,1475.0
158,27000093.0,Hc Wire Introducer Short,,391.21
159,27000094.0,Hc Needle Guide Kit,,188.0
160,27000095.0,Hc Supply Handpiece Stereotactic,,1165.35
161,27000096.0,Hc Supply Scrmrk Bx Site Id Systm,,519.75
162,27000097.0,Hc Balloons Abbott,C1725,1037.63
163,27000098.0,Hc Electrd 5fr Balln Tip Brd 125cm,,696.19
164,27000099.0,Hc Cath Wedge Abbott,,318.9
165,27000100.0,Hc Gdwire Miracle Bros Ashi Abbott,C1769,889.84
166,27000101.0,Hc Acist Touch Kit And Manifold,,427.6
167,27000102.0,Hc Cath Balloon Wedge Arrow,,327.11
168,27000103.0,Hc Cath Atrium Clearway Balloon,,3806.78
169,27000104.0,Hc Pacer Temp 6fr Bard,,783.77
170,27000105.0,Hc Cath Diagnostic-boston,,133.09
171,27000106.0,Hc Cath Diagnostic-cordis,,131.1
172,27000107.0,Hc Cath Pigtail Double Lumen,,771.98
173,27000109.0,Hc Cook Pericardiocentesis Tray,,679.84
174,27000110.0,Hc Copilot Valve,,407.0
175,27000111.0,Hc Dermabond,,246.49
176,27000112.0,Hc Diag Cath Mltpck(cords Or Bs),,302.56
177,27000113.0,Hc Femostop-all,,542.96
178,27000114.0,Hc Forceps Biopsy,,723.51
179,27000115.0,Hc Iabp Datascope,,2588.31
180,27000116.0,Hc Iabp Datascope 8fr 34cc,,3754.71
181,27000117.0,Hc Lanston 6fr Dual Lumen Cath,C1887,759.0
182,27000118.0,Hc Maquet 34 Or 40cc,,3973.34
183,27000119.0,Hc Cable Surgical Medtronic,,718.6
184,27000120.0,Hc Merit Kit,,303.64
185,27000121.0,Hc Merit Pericardiocentesis Tray,,688.29
186,27000122.0,Hc Merit Radial Access Kit,,359.01
187,27000123.0,Hc Merit Short Sheath,,121.0
188,27000124.0,Hc Cath Ultimate Merit,,244.12
189,27000125.0,Hc Micropuncture Introducter,,40.6
190,27000126.0,Hc Miscellaneous Supply,,0.0
191,27000127.0,Hc Monarch 25kit,,482.65
192,27000128.0,Hc Obturator 10cm,,78.12
193,27000129.0,Hc Obturator 25cm,,78.12
194,27000130.0,Hc Pacemaker Pack-phs,,478.18
195,27000131.0,Hc Pacesetter Stylet,,610.61
196,27000133.0,Hc Pull Back Sled,,333.0
197,27000134.0,Hc Quick Combo Rts Defib Pads,,315.45
198,27000135.0,Hc Radar Hemostasis Band,,191.99
199,27000136.0,Hc Ray Shield Pad,,251.48
200,27000137.0,Hc Rotating Hemostatic Valve,,247.42
201,27000138.0,Hc Set Pericardiocentesis-boston,,826.0
202,27000139.0,Hc Smart Needle Short,,573.99
203,27000140.0,Hc Smart Needle-long,,596.85
204,27000141.0,Hc Sheath  Fast St Jude,C1894,268.39
205,27000142.0,Hc St Jude Pacer Test Cable 4042,,269.11
206,27000143.0,Hc Terumo Long Sheath 45cm,C1766,656.22
207,27000144.0,Hc Tornus Catheter System,,3253.79
208,27000145.0,Hc Transducer,,150.36
209,27000146.0,Hc Transit Catheter,,1024.0
210,27000148.0,Hc Tray Sones,,164.56
211,27000149.0,Hc Cath Twin Pass,,1558.75
212,27000150.0,Hc Valley Manifold Kit,,225.46
213,27000151.0,Hc Venture Wire Control Cath,,3092.95
214,27000152.0,Hc V-pad,,333.0
215,27000153.0,Hc Stent Des Xience Prime,C1874,
216,27000154.0,Hc Guidewires,C1769,98.56
217,27000155.0,Hc Misc Gastroenterology Supply,,0.0
218,27000156.0,Hc Misc Gastroenterology Supply,,0.0
219,27000158.0,Hc Platlet Pher Aliq Bag Chg,,29.0
220,27000159.0,Hc Heli-ox Daily,,1209.0
221,27000160.0,Hc Mist/o2 Therapy/daily,,311.0
222,27000161.0,Hc Respirgard,,39.0
223,27000162.0,Hc Scrotal Supp,,39.0
224,27000163.0,Hc Xray Film,,39.0
225,27000164.0,"HC FIBERGLASS 3"" ROLL/EA ROLL",,48.0
226,27000165.0,"HC FIBERGLASS 2"" ROLL/EA ROLL",,53.0
227,27000166.0,Hc Amniocentes Set Up,,55.17
228,27000167.0,"HC FIBERGLASS 5"" ROLL/EA ROLL",,60.0
229,27000168.0,"HC FIBERGLASS 4"" ROLL/EA ROLL",,64.0
230,27000170.0,Hc Manaka Ion Pumping Mgnt Cords,,136.81
231,27000171.0,Hc Fracture Sock,,146.73
232,27000172.0,Hc Accu-patch S Clear Magnet,,148.95
233,27000173.0,Hc Ankle Corset,,152.22
234,27000174.0,Hc Phelebotomy Tray,,153.73
235,27000175.0,Hc Filter Line Set Adlt/pdi 60182,,154.31
236,27000176.0,Hc Aerochamber,,155.37
237,27000177.0,Hc Demistifier Canopy,,155.37
238,27000178.0,Hc D-soles #6626,,156.76
239,27000179.0,Hc Magrain S Clear Magnet,,157.58
240,27000180.0,Hc Patella Support,C1776,
241,27000181.0,Hc Pleura Seal Thoracentesis Kit,,
242,27000182.0,Hc Vasectomy Tray,,166.21
243,27000183.0,Hc Bartlett Brush,,168.0
244,27000184.0,Hc Splint  Air-gel,,168.0
245,27000185.0,Hc D-soles #6227,,172.39
246,27000186.0,Hc S.p. Tube Tray,,176.47
247,27000187.0,Hc Pessary Gehrung,A4562,
248,27000188.0,Hc Removable Thumb Spica,,207.96
249,27000189.0,Hc Carpal Tunnel Splint,,208.32
250,27000190.0,"Hc Accu-band 6,000 Gp Magnet",,211.46
251,27000191.0,Hc Supp Transbronchial Needle,,216.0
252,27000192.0,Hc Supp Urol F/f Set Non/disp,,225.23
253,27000193.0,Hc Weaton Harness,,228.27
254,27000194.0,Hc Brush Op Cytology,,229.66
255,27000195.0,"Hc Hinges, Free Motion",,232.93
256,27000196.0,Hc Pads,,235.03
257,27000197.0,Hc H/s Catheter Set,,236.54
258,27000198.0,Hc Picc Line Dres Supply,,242.73
259,27000199.0,"Hc Splint, Humeral",,265.36
260,27000200.0,Hc Magrain-5 Multi-p Silver Magnt,,270.95
261,27000201.0,Hc Surg Ski Boot,,272.35
262,27000202.0,Hc Weaton Abduct Orthosis,,305.83
263,27000203.0,Hc Soft Tissue Marker,A4648,
264,27000204.0,Hc Gtube Mic All Sizes,,326.01
265,27000205.0,Hc Pessary Hodge,A4561,
266,27000206.0,Hc Pessary Incontinence Dish,A4561,
267,27000207.0,Hc Pessary Incontinence Dsh W Sup,A4561,
268,27000208.0,Hc Pessary Incontinence Ring,A4561,
269,27000209.0,Hc Pessary Shaatz,A4561,
270,27000210.0,Hc Bledsoe Brace,,332.19
271,27000211.0,Hc Pessary Cube,,342.68
272,27000212.0,Hc Pessary Donut,,342.68
273,27000213.0,Hc Pessary Gellhorn,,342.68
274,27000214.0,Hc Pessary Inflatoball,,342.68
275,27000215.0,Hc Pessary Milex,,342.68
276,27000216.0,Hc Pessary Ring,,342.68
277,27000217.0,Hc Ski Boot,,354.0
278,27000218.0,Hc Biopsy Forceps,,361.0
279,27000219.0,Hc Night Splints,,375.82
280,27000220.0,Hc Wee Walker,,376.05
281,27000221.0,Hc Nutrition Supply-keto Scale,,376.87
282,27000222.0,"Hc Hinges, Adjustable",,380.48
283,27000223.0,Hc Short Ski Boot,,384.09
284,27000224.0,Hc Ud Kit,,402.29
285,27000225.0,Hc Nutrition Supply-keto Scale Mpark,,414.0
286,27000226.0,Hc Acapella 48273,,476.47
287,27000227.0,Hc Bledsoe Elbow Splint,,540.97
288,27000228.0,Hc Diabetic Ski Boot,,570.02
289,27000229.0,Hc Drsg Wound 3x3.5 Oasis,Q4102,
290,27000230.0,Hc Gtube Mic Key All Sizes,,605.48
291,27000231.0,Hc Brace Acl,,638.0
292,27000233.0,Hc Drsg Wound 3x7 Oasis,Q4102,
293,27000234.0,Hc Brachytx Non-str Hdr Ir192,C1717,1660.0
294,27000236.0,Hc Intratubal Occlusion Device,A4264,
295,27000237.0,Hc Apligraf 44sq Cm Per Sq Cm,Q4101,111.34
296,27000238.0,Hc Graftjacket 1sheet(5x5cm=1u),Q4107,
297,27000239.0,Hc Ten Shooter Ligator,,1296.92
298,27000242.0,Hc Autotome,,1370.4
299,27000244.0,Hc Cath Dilitation Graduated Cotton,C1726,484.52
300,27000245.0,Hc Cath Push,,370.09
301,27000246.0,Hc Colon Decompression Set,C1729,755.13
302,27000248.0,Hc Contour Ercp Cannula,,490.35
303,27000251.0,Hc Dash-21-480,C1769,1353.14
304,27000253.0,Hc Dreamtome Short/long,C1769,2076.07
305,27000254.0,Hc Dreamwire F/g Straight,C1769,1053.84
306,27000257.0,HC EXTRACTOR PRO RETRIEVAL BALLOON SHORT EXCH ABOV,C1773,964.03
307,27000258.0,HC EXTRACTOR PRO LONG EXCH ABOVE/BELOW,,767.37
308,27000259.0,Hc Forcep Radial Jaw 3.2mm,,323.0
309,27000260.0,Hc Ft Ercp Cann Std Tip,,364.0
310,27000266.0,Hc Jagwire Long/straight,C1769,829.0
311,27000267.0,Hc Microknife Xl,,840.05
312,27000268.0,Hc Dash-480,C1769,1331.68
313,27000271.0,Hc Needle Injection Carr Locke,,318.31
314,27000273.0,Hc Pathfinder 018/450 (bx/2),C1769,786.62
315,27000277.0,Hc Roth Net Standard,,536.78
316,27000279.0,Hc Cytology Brush,,548.45
317,27000282.0,Hc Six Shooter,,1211.43
318,27000283.0,Hc Soehendra Stent Retirever,,728.88
319,27000285.0,Hc Spybite Biopsy Forceps,,2586.84
320,27000288.0,Hc Stonetome,,968.35
321,27000289.0,Hc Ultratome,,968.35
322,27000291.0,Hc Wallflex Biliary Uncovered W/del System,C1876,
323,27000293.0,Hc Clot Drive Unit,,658.9
324,27000294.0,Hc Possis Pump Set,,1330.4
325,27000295.0,Hc Pneumothorax Set,,653.3
326,27000296.0,Hc Needle Smart,,560.22
327,27000297.0,Hc Banana Peel,,433.78
328,27000298.0,Hc Chemo Waste Can,,225.82
329,27000299.0,Hc Adult Tracheostomy Kit 5.6mm,A4550,625.65
330,27000300.0,Hc Bowl Set Cell Saver Hi Speed,,775.89
331,27000301.0,Hc Fast Pk Cell Saver,,1038.8
332,27000302.0,Hc Del Sys Cardiopl Pump Rev Drip,,607.0
333,27000303.0,Hc Drape Pk Hrt Ad,,1064.58
334,27000304.0,Hc Drape Pk Opn Hrt Cstm,,1863.44
335,27000305.0,Hc Drape Pk Hrt Opn Acc Cstm,,1266.01
336,27000306.0,Hc Wrnch Cusa 36 Khz Lf,,527.56
337,27000307.0,Hc Cap End T2 5,,1019.2
338,27000308.0,Hc Cable Dall Miles Ss 1.6 Beaded,C1713,
339,27000309.0,Hc Pin Half 3x110 Apex S/d 25 Thr,C1713,
340,27000310.0,Hc Plt How Cu R108/l122.5/8h,C1713,
341,27000311.0,Hc Plt How Strt Acet L46.5/4h,C1713,
342,27000312.0,Hc Plt How Sym Pub R75/l60.5 4h,C1713,
343,27000313.0,Hc Plt Syn Lcp 3.5x111 8h,C1713,
344,27000314.0,Hc Plt Syn Lcp Rt Ang 3.5x50 3h,C1713,
345,27000315.0,Hc Plt Syn Lcp Rt Ang 3.5x67 5h,C1713,
346,27000316.0,Hc Scrw Syn Schanz 80 Th 5.0x200,C1713,
347,27000317.0,Hc Sht Non-reinforced .040in,,569.32
348,27000318.0,Hc Nail How Tib T2 9x345,C1713,
349,27000319.0,Hc Catheter,,242.96
350,27000320.0,Hc Syringe For Epo Admin,A4657,9.09
351,27000321.0,Hc Misc Dialysis Supply,A4913,47.94
352,27000323.0,Hc Glidewire Long/straight,C1769,1096.65
353,27000325.0,Hc Tandem Xl Ercp Cannula,,536.78
354,27000329.0,Hc Cotton-huibregtse Plastic Biliary Stent,C1877,
355,27000330.0,Hc Cotton-leung Biliary Stent,C2617,
356,27000331.0,Hc Stent Biliary Dbl Pgtl Zimmon,C2625,
357,27000332.0,Hc Geenen Pancreatic Stent Wo/del System,C2625,
358,27000333.0,Hc Geenen Pancreatic Stent W/del System,C2617,
359,27000334.0,Hc Stent Pancreatic Zimmon,C2617,
360,27000335.0,Hc Stent Oasis One Action Non-cov W Del Syst,C1876,
361,27000336.0,Hc Trapezoid Retrieval Basket,,1434.55
362,27000337.0,Hc Fusion Quattro Extraction Balloon,,943.38
363,27000338.0,Hc Fusion Lithotripsy Basket,,1586.77
364,27000339.0,Hc Web Extraction Basket,,925.19
365,27000340.0,Hc Basket Memory,,1466.87
366,27000341.0,Hc Conquest Ttc Litho Cable,,827.0
367,27000342.0,Hc Litho Crush V,,3089.67
368,27000343.0,Hc Lbullet Tip Basket,,2037.58
369,27000344.0,Hc Litho Crush V Handle,,2037.58
370,27000345.0,Hc Cath Balloon Hurricane Rx,C1726,1455.9
371,27000346.0,Hc Quantum Ttc: Biliary Balloon,C1726,1303.21
372,27000347.0,Hc Soehendra Biliary Dil Cath,C2625,
373,27000348.0,Hc Spyglass Direct Visualization Probe,,12438.73
374,27000349.0,Hc Spyscope Delivery Catheter,,4242.9
375,27000350.0,Hc Spyglass Irrigation Tubing,,270.37
376,27000351.0,Hc Haber Ramp Catheter,,656.22
377,27000352.0,Hc Endoluminal Stent Cov W/del Syst,C1874,
378,27000353.0,Hc Rotatable Snare  Small,,292.65
379,27000354.0,Hc Rotatable Snare  Medium,,357.38
380,27000355.0,Hc Wallflex  Biliary Stent Covered Wo Del System,C1874,
381,27000356.0,Hc Wallstent Guidewire,C1769,
382,27000357.0,Hc Co2 Set Up,,424.11
383,27000358.0,Hc Supply Introducer Loc Set,,979.07
384,27000363.0,Hc Angio Jet Avx,C1757,2926.03
385,27000364.0,Hc Hinged Elbow,,522.9
386,27000365.0,"Hc Elbow, Immobilizer",,253.9
387,27000366.0,Hc Dh Shoe,,383.5
388,27000367.0,Hc Pavlik Harness,,360.9
389,27000368.0,Hc Hip Abduction,,565.2
390,27000369.0,Hc Imak Glove,,327.6
391,27000370.0,Hc Tko Wrist & Hand Splint,,243.4
392,27000371.0,Hc Xlarge Pneumatic Walker,,465.2
393,27000372.0,Hc Shoulder Abduction Pillow,,270.1
394,27000373.0,Hc Tulis Heel Protector,,341.2
395,27000374.0,Hc Nitric Oxide Gas-inh Per Hour,,881.2
396,27000376.0,Hc Ear Mold/insert-ccs Only,,127.0
397,27000378.0,Hc Surgical Supply Misc A4649,A4649,
398,27000379.0,Hc Prevalon Boot,,545.2
399,27000380.0,Hc Spenco Polysorb Insole,,262.1
400,27000381.0,Hc Kiwi Omni Txn Force,,284.7
401,27000382.0,Hc Zero Degree Knee,,269.2
402,27000383.0,Hc Finger Spring,,263.8
403,27000385.0,Hc Guidewire Amplatz Spr Stf Str Tip,C1769,818.7
404,27000386.0,Hc Cath Cre 10-12mm 8cm F/g,C1726,1102.5
405,27000387.0,Hc Cath Cre Ball Dil Bili,C1726,1216.0
406,27000388.0,Hc Cath Cre Pro Ball Dil Es/pyl/bil Wg 180cm,C1726,1216.0
407,27000389.0,Hc Cath Cre Wg 12-15mm/240cm/5.5 F/g,C1726,1216.0
408,27000390.0,Hc Cath Cre Wg 15-18mm/240cm/5.5 F/g,C1726,1216.0
409,27000391.0,Hc Cath Cre Wg 18-20mm/240cm/5.5 F/g,C1726,1216.0
410,27000392.0,Hc Cath Cre Wg 8-10mm/240cm/5.5 F/g,C1726,1216.0
411,27000393.0,Hc Cath Cre Pro Ball Dil Es/pyl/bil Wg 240cm,C1726,1216.0
412,27000394.0,Hc Cath Ball Extrx Ercp Inj Blw Inf Dist Tip Wg 8.,C1726,718.0
413,27000395.0,"Hc Cath Ball Extrx Ercp Mx 3v+ 35wg Dist Tip 20,18",C1726,718.0
414,27000396.0,"Hc Cath Ball Extrx Ercp Mx 3v+ 35wg Inj Blw 20,18,",C1726,718.0
415,27000397.0,"Hc Cath Ball Extrx Ercp Mx 3v+ Inj Abv Inf 8.5, 11",C1726,718.0
416,27000398.0,Hc Guidewire Navi-pro Hydro,C1769,3022.0
417,27000399.0,Hc Guidewire Navi-pro Straight,C1769,729.1
418,27000400.0,Hc Guidewire Novagold,C1769,1934.7
419,27000401.0,Hc Pathfinder 018/450,C1769,1310.5
420,27000402.0,Hc Guidewire Wallstent Spr Soft,C1769,634.1
421,27000403.0,Hc Hemospray Hemo-7,,5176.0
422,27000404.0,Hc Pac Med Non-pneum Walk Boot Pre Cst,L4386,399.0
423,27000405.0,Hc Pac Med Hard Protect Helmet Prefab,A8001,635.5
424,27000406.0,Hc Pac Med Modification To Body Jacket Per 15 Min,L1499,293.1
425,27000407.0,Hc Pac Med Modification To Halo Per 15 Min,L1499,293.1
426,27000408.0,Hc Pac Med C Collar,L1499,293.1
427,27000409.0,Hc Pac Med Cto Liners,L1499,446.1
428,27000410.0,Hc Pac Med Halo Jacket Interface,L1499,762.0
429,27000411.0,Hc Pac Med Instep Strap,L1499,433.8
430,27000412.0,Hc Pac Med Pre-tibial Strap,L1499,659.9
431,27000413.0,Hc Slings A4565,A4565,
432,27000414.0,Hc Gastro/jejuno Tube Std B4087,B4087,
433,27000415.0,Hc Cllr Cerv Flex Foam L0120,L0120,
434,27000416.0,Hc Collar Cervical Plastic L0140,L0140,
435,27000417.0,Hc Collar Cerv Sr Foam 2 Pc Pre Ots L0172,L0172,
436,27000418.0,Hc Collar Sr 2pc Thor Ext Pre Ots L0174,L0174,
437,27000419.0,Hc Collar Mxpost W Bars + Ext L0200,L0200,
438,27000420.0,Hc Tlso Pre W 4 Plast Shells L0464,L0464,
439,27000421.0,Hc Lso Sag Rig Ant/pos Panel Prefb Cstm L0631,L0631,
440,27000422.0,Hc Lso Sag Rig Panel Prefb L0635,L0635,
441,27000423.0,Hc Lso Sag/cor Rig Ant/pos Pnl Prefb Custm L0637,L0637,
442,27000424.0,Hc Tlso Ant Thor Addtn L1220,L1220,
443,27000425.0,Hc Hip Orth Flex Frejka W/cov Prefb Cust L1600,L1600,
444,27000426.0,Hc Hip Orth Bilat Thigh Cuffs L1652,L1652,
445,27000427.0,Hc Ko Immob Canvas Long Prefb Ots L1830,L1830,
446,27000428.0,Hc Afo Prefab L1930,L1930,
447,27000429.0,Hc Soft Interfc Molded Plat Blw Knee L2820,L2820,
